municipality,group,variable,month,Número de DIU Insertados,TOTAL
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,4,4
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,3,3
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,4,4
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,8,8
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,4,4
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,12,12
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,5,5
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,4,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,277,277
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
COLPA BELGICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,3,3
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,135,135
EL PUENTE(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,8,8
EL VILLAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,10,10
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,6,6
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,3,3
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,30,30
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,303,303
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,3,3
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,6,6
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,8,8
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,15,15
MORO MORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,65,65
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,3,3
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,5,5
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,5,5
PASORAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,3,3
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,12,12
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,27,27
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
PUERTO PEREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,3,3
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,6,6
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,9,9
QUIME,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,5,5
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,40,40
SACABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
SAIPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,12,12
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,3,3
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,5,5
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,8,8
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,4,4
SAN JOAQUIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,6,6
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,5,5
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
SAN RAFAEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
SAN RAMON SCZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,464,464
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,1,1
SIPE SIPE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,6,6
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de diu insertados,2010-01-01,109,109
