municipality,group,variable,month,AQV femenino,TOTAL
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,2,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,5,5
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,2,2
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,36,36
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,17,17
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,59,59
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,2,2
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,2,2
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,17,17
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,18,18
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,12,12
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,25,25
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,1,1
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,1,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,7,7
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,2,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,1,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,1,1
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,2,2
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,5,5
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,2,2
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,1,1
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,4,4
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,4,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,81,81
SIPE SIPE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,2,2
SOPACHUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,38,38
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,25,25
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,1,1
TIRAQUE (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,2,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,24,24
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,10,10
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,7,7
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,12,12
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,3,3
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-01-01,2,2
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,1,1
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,1,1
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,3,3
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,3,3
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,2,2
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,3,3
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,5,5
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,3,3
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,10,10
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,75,75
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,1,1
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,2,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,12,12
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,4,4
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,8,8
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,31,31
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,4,4
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,6,6
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,4,4
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,16,16
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,3,3
POCOATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,1,1
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,1,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,11,11
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,2,2
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,4,4
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,3,3
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,2,2
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,10,10
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,4,4
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,2,2
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,1,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,4,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,106,106
SOPACHUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,2,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,36,36
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,8,8
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,4,4
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,1,1
TOMINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,6,6
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,31,31
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,3,3
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,6,6
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,10,10
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,11,11
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,2,2
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-02-01,6,6
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,8,8
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,2,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,2,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,3,3
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,2,2
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,7,7
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,1,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,5,5
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,59,59
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,1,1
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,15,15
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,4,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,25,25
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,9,9
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,12,12
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,6,6
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,3,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,12,12
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,6,6
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,5,5
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,5,5
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,14,14
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,2,2
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,1,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,8,8
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,2,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,7,7
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,3,3
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,5,5
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,1,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,10,10
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,5,5
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,1,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,7,7
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,1,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,3,3
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,2,2
SAN RAMON SCZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,2,2
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,6,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,119,119
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,2,2
SIPE SIPE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,47,47
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,6,6
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,7,7
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,5,5
TIRAQUE (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,6,6
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,31,31
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,1,1
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,10,10
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,8,8
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,6,6
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,31,31
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,16,16
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,1,1
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,6,6
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-03-01,1,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,5,5
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,3,3
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,2,2
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,2,2
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,6,6
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,3,3
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,3,3
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,3,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,74,74
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,3,3
COPACABANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,10,10
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,19,19
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,3,3
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,5,5
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,11,11
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,2,2
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,1,1
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,6,6
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,2,2
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,11,11
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,1,1
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,2,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,10,10
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,1,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,10,10
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,1,1
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,2,2
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,3,3
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2010-04-01,11,11
