,group,variable,month,TRATAMIENTOS DE LEISHMANIA VISCERAL INICIADO,TRATAMIENTOS DE LEISHMANIA VISCERAL INICIADO,TRATAMIENTOS DE LEISHMANIA VISCERAL CONCLUIDO,TRATAMIENTOS DE LEISHMANIA VISCERAL CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania visceral,2011-01-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania visceral,2011-02-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania visceral,2011-03-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania visceral,2011-04-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania visceral,2011-05-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania visceral,2011-06-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania visceral,2011-07-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania visceral,2011-08-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania visceral,2011-09-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania visceral,2011-10-01,0,0,0,0,0,0,0
COLQUIRI,leishmaniasis,tratamientos de leishmania visceral,2011-11-01,0,3,0,0,0,3,3
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania visceral,2011-11-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania visceral,2011-12-01,0,0,0,0,0,0,0
