,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AYATA,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,0,0,1,0,1,0,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,6,3,4,2,10,5,15
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,1,3,0,0,1,3,4
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,3,2,0,1,3,3,6
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,1,0,2,1,3,1,4
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,1,1,0,0,1,1,2
COLOMI,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,1,0,0,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,1,2,1,2,2,4,6
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,4,1,6,0,10,1,11
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,2,0,0,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,1,0,2,1,3,1,4
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,1,2,0,0,1,2,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,1,3,3,5,4,8,12
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,4,1,0,0,4,1,5
