,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-01-01,0,0,0,0,0,0,0
SENA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-01-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-02-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-02-01,0,0,0,0,0,0,0
COLQUIRI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-03-01,2,0,2,0,4,0,4
COROICO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-03-01,0,0,1,0,1,0,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-03-01,0,0,0,0,0,0,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-04-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-04-01,1,0,1,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-04-01,0,0,1,0,1,0,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-04-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-04-01,0,0,0,0,0,0,0
APOLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-05-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-05-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-05-01,0,0,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-05-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-05-01,0,0,0,0,0,0,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-05-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-06-01,0,0,2,0,2,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-06-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-06-01,2,0,0,1,2,1,3
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-06-01,0,0,0,0,0,0,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-06-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-07-01,1,1,1,0,2,1,3
JESUS DE MACHACA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-07-01,1,0,1,0,2,0,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-07-01,1,0,2,0,3,0,3
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-07-01,0,0,0,0,0,0,0
YANACACHI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-07-01,0,1,0,0,0,1,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-08-01,2,0,0,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-08-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-08-01,2,0,0,0,2,0,2
JESUS DE MACHACA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-08-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-08-01,2,0,4,0,6,0,6
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-08-01,0,0,0,0,0,0,0
YANACACHI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-08-01,0,0,0,1,0,1,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-09-01,0,0,2,0,2,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-09-01,0,0,2,0,2,0,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-09-01,3,0,0,0,3,0,3
