,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,1,0,0,0,1,0,1
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,0,1,0,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,0,0,2,0,2,0,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,1,0,0,0,1,0,1
EL PUENTE(TJA),leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,2,0,1,0,3,0,3
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,0,0,2,2,2,2,4
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,0,1,0,0,0,1,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,1,0,1,0,2,0,2
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa,2011-01-01,0,0,0,0,0,0,0
ANZALDO,leishmaniasis,tratamientos de leishmania mucosa,2011-02-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2011-02-01,1,0,0,0,1,0,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2011-02-01,0,0,1,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2011-02-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2011-02-01,3,0,2,0,5,0,5
