,group,variable,month,VACUNACIONES SRP,VACUNACIONES SRP,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,0,1,0,1
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,26,65,26,65,91
ACHOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,8,28,8,28,36
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,27,23,27,23,50
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,1,0,1,1
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,1,3,1,4
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,19,2,19,21
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,2,1,2,3
ANTEQUERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,2,4,2,6
ANZALDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,7,16,7,16,23
APOLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,13,15,13,15,28
ARAMPAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,4,2,4,6
ARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,5,12,5,12,17
ARBIETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,11,33,11,33,44
ARQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,7,5,7,5,12
ASCENCION DE GUARAYOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,31,16,31,16,47
ATOCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,7,5,7,5,12
AUCAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,2,2,2,4
AYATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,8,3,8,11
AYO AYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,2,3,2,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,8,18,8,18,26
AZURDUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,9,8,9,8,17
BATALLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,11,21,11,21,32
BAURES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,0,2,0,2
BELEN DE ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,0,1,0,1
BERMEJO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,56,15,56,15,71
BETANZOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,17,37,17,37,54
BOLIVAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,7,9,7,9,16
BOYUIBE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,4,3,4,7
BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,18,21,18,21,39
CABEZAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,13,23,13,23,36
CAIROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,11,4,11,15
"CAIZA ""D""",vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,8,1,8,9
CAJUATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,8,4,8,4,12
CALACOTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,7,1,7,8
CALAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,5,11,5,11,16
CAMARGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,19,13,19,13,32
CAMATAQUI (C. VILLA ABECIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,3,3,3,6
CAMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,41,19,41,19,60
CAPINOTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,19,19,19,19,38
CAQUIAVIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,9,1,9,10
CARACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,18,14,18,14,32
CARANAVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,94,38,94,38,132
CARAPARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,13,17,13,17,30
CARIPUYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,11,0,11,11
CARMEN RIVERO TORREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,5,3,5,8
CATACORA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,2,0,2,2
CHALLAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,24,21,24,21,45
CHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,10,3,10,3,13
CHARAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,11,52,11,52,63
CHAYANTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,10,29,10,29,39
CHIMORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,21,10,21,10,31
CHULUMANI (V. DE LA LIBERTAD),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,17,14,17,14,31
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,5,4,5,9
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,26,4,26,30
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,84,5,84,5,89
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1297,33,1297,33,1330
COIPASA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,86,4,86,4,90
"COLCHA ""K""",vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,7,6,7,6,13
COLLANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,1,2,1,3
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,21,26,21,26,47
COLPA BELGICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,7,5,7,5,12
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,24,52,24,52,76
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,6,4,6,4,10
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,33,44,33,44,77
COMANCHE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,0,1,0,1
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,15,10,15,10,25
COMBAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,3,2,3,5
CONCEPCION,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,21,0,21,0,21
COPACABANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,24,1,24,25
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,11,16,11,16,27
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,7,4,7,11
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,6,11,6,11,17
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,5,3,5,8
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,6,23,6,23,29
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,88,38,88,38,126
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,11,26,11,26,37
CUCHUMUELA (V. G. VILLARROEL),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,1,1,1,2
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,3,4,3,7
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,15,17,15,17,32
CURAHUARA DE CARANGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,0,1,0,1
CURVA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,1,1,1,2
DESAGUADERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,3,1,3,4
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1485,240,1485,240,1725
EL CHORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,5,1,5,1,6
EL PUENTE(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,15,0,15,0,15
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,10,9,10,9,19
EL TORNO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,79,8,79,8,87
EL VILLAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,5,1,5,1,6
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,15,24,15,24,39
