,group,variable,month,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,25,53,25,53,78
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,21,18,21,18,39
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,2,0,2,2
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,1,3,1,4
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,19,2,19,21
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,2,1,2,3
ANTEQUERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,2,4,2,6
ANZALDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,13,0,13,13
APOLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,11,4,11,4,15
ARAMPAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,4,0,4,4
ARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,6,3,6,9
ARBIETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,9,17,9,17,26
ARQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,5,9,5,9,14
ASCENCION DE GUARAYOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,32,23,32,23,55
ATOCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,4,4,4,8
AUCAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,1,0,1,1
AYATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,7,2,7,9
AYO AYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,8,18,8,18,26
AZURDUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,9,8,9,8,17
BATALLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,8,2,8,10
BAURES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,0,2,0,2
BERMEJO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,36,5,36,5,41
BETANZOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,9,38,9,38,47
BOLIVAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,3,4,3,7
BOYUIBE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,4,3,4,7
BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,15,21,15,21,36
CABEZAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,7,26,7,26,33
CAIROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,11,4,11,15
"CAIZA ""D""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,4,1,4,5
CAJUATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,4,4,4,8
CALACOTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,7,0,7,7
CALAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,11,3,11,14
CAMARGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,7,2,7,9
CAMATAQUI (C. VILLA ABECIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,4,3,4,7
CAMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,36,20,36,20,56
CAPINOTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,10,18,10,18,28
CAQUIAVIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,12,0,12,12
CARACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,9,4,9,13
CARANAVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,11,0,11,0,11
CARAPARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,10,3,10,13
CARIPUYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,6,0,6,6
CARMEN RIVERO TORREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,5,3,5,8
CATACORA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,2,0,2,2
CHALLAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,10,0,10,10
CHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,8,2,8,2,10
CHARAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,12,55,12,55,67
CHAYANTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,10,31,10,31,41
CHIMORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,15,20,15,20,35
CHULUMANI (V. DE LA LIBERTAD),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,16,18,16,18,34
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,2,2,2,4
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,31,4,31,35
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,69,19,69,19,88
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1054,18,1054,18,1072
COIPASA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,1,1,1,2
"COLCHA ""K""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,7,8,7,8,15
COLLANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,0,2,0,2
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,9,29,9,29,38
COLPA BELGICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,8,5,8,5,13
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,15,23,15,23,38
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,2,3,2,5
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,14,43,14,43,57
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,9,19,9,19,28
COMBAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,2,0,2,2
CONCEPCION,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,23,3,23,3,26
COPACABANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,23,0,23,23
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,11,19,11,19,30
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,7,2,7,9
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,6,9,6,9,15
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,5,3,5,8
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,21,3,21,24
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,97,38,97,38,135
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,12,32,12,32,44
CUCHUMUELA (V. G. VILLARROEL),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,7,0,7,0,7
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,5,1,5,6
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,13,6,13,6,19
CURVA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,1,0,1,1
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,432,25,432,25,457
EL CHORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,5,0,5,0,5
EL PUENTE(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,12,0,12,0,12
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,9,3,9,12
EL TORNO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,76,8,76,8,84
