municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
BERMEJO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-01-01,14,14
ICLA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-01-01,5,5
INCAHUASI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-01-01,1,1
MACHARETI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-01-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-01-01,12,12
SAN PEDRO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-01-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-01-01,1,1
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-01-01,2,2
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-01-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-01-01,6,6
VILLA SERRANO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-01-01,5,5
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-02-01,3,3
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-02-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-02-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-02-01,10,10
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-02-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-02-01,5,5
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-02-01,2,2
VILLA SERRANO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-02-01,1,1
INCAHUASI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-03-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-03-01,13,13
SAN ANTONIO DE LOMERIO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-03-01,1,1
SAN PEDRO DE BUENA VISTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-03-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-03-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-03-01,7,7
CARANAVI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-04-01,4,4
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-04-01,3,3
INCAHUASI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-04-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-04-01,3,3
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-04-01,7,7
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-04-01,1,1
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-04-01,3,3
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-04-01,3,3
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-04-01,1,1
VILLA SERRANO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-04-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-05-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-05-01,3,3
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-05-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-05-01,10,10
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-05-01,1,1
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-05-01,1,1
TIAHUANACU,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-05-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-05-01,4,4
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-06-01,3,3
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-06-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-06-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-06-01,7,7
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-06-01,4,4
