municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,6,6
ACHACACHI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,213,213
ACHOCALLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,39,39
AIQUILE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,127,127
ALCALA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,33,33
ALTO BENI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,2,2
ANCORAIMES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,12,12
ANDAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,5,5
ANZALDO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,7,7
APOLO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,25,25
ARAMPAMPA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,2,2
ARANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,15,15
ARBIETO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,21,21
ARQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,7,7
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,54,54
ATOCHA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,195,195
AYATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,1,1
AYO AYO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,61,61
AZURDUY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,21,21
BATALLAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,34,34
BAURES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,2,2
BELEN DE ANDAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,3,3
BELEN DE URMIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,2,2
BELLA FLOR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,8,8
BERMEJO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,483,483
BETANZOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,71,71
BOLIVAR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,6,6
BOLPEBRA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,3,3
BOYUIBE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,7,7
BUENA VISTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,136,136
CABEZAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,27,27
CAIROMA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,16,16
"CAIZA ""D""",refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,17,17
CAJUATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,40,40
CALACOTO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,4,4
CALAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,39,39
CAMARGO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,39,39
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,24,24
CAMIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,256,256
CAPINOTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,104,104
CAQUIAVIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,4,4
CARACOLLO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,25,25
CARANAVI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,158,158
CARAPARI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,126,126
CARIPUYO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,3,3
CARMEN RIVERO TORREZ,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,13,13
CATACORA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,1,1
CHACARILLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,1,1
CHALLAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,74,74
CHAQUI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,12,12
CHARAGUA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,67,67
CHARAÑA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,2,2
CHAYANTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,13,13
CHIMORE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,153,153
CHIPAYA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,4,4
CHOQUE COTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,1,1
CHUA COCANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,10,10
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,64,64
CHUMA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,5,5
CKOCHAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,31,31
CLIZA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,69,69
COBIJA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,430,430
COCAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,6,6
COCHABAMBA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,7659,7659
COLCAPIRHUA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,205,205
"COLCHA ""K""",refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,70,70
COLOMI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,93,93
COLPA BELGICA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,81,81
COLQUECHACA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2020-01-01,29,29
