municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
ALCALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,36,36
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,4,4
BERMEJO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,1,1
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,2,2
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,1,1
CULPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,4,4
EL ALTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,44,44
EL PUENTE(TJA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,6,6
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,6,6
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,2,2
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,6,6
LAS CARRERAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,17,17
MACHARETI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,1,1
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,8,8
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,24,24
PADILLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,4,4
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,12,12
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,13,13
PUERTO SUAREZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,2,2
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,15,15
SAN PEDRO DE BUENA VISTA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,2,2
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,4,4
SOPACHUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,10,10
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,18,18
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,13,13
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,4,4
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,55,55
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,15,15
TUPIZA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,18,18
VILLA MONTES,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2020-01-01,1,1
