municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
CAJUATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,13,13
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,4,4
COLCAPIRHUA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,14,14
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,1,1
MACHACAMARCA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,1,1
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,10,10
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,2,2
SAN JULIAN,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,5,5
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,6,6
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,22,22
TIQUIPAYA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,1,1
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,5,5
ZUDAÑEZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-01-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,8,8
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,2,2
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,5,5
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,11,11
MAGDALENA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,1,1
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,14,14
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,1,1
PORCO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,1,1
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,2,2
SAN JULIAN,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,17,17
SOPACHUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,15,15
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,49,49
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,75,75
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,4,4
VILLA MONTES,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,8,8
VILLA SERRANO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-02-01,10,10
BETANZOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,3,3
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,3,3
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,5,5
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,2,2
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,1,1
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,2,2
SACABA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,2,2
SOPACHUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,4,4
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,47,47
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-03-01,5,5
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-04-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-04-01,4,4
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-04-01,3,3
GENERAL SAAVEDRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-04-01,1,1
PAILON,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-04-01,22,22
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-04-01,9,9
TARVITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-04-01,1,1
VINTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-04-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-05-01,4,4
COBIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-05-01,3,3
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-05-01,1,1
GUANAY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-05-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-05-01,38,38
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-05-01,2,2
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-05-01,3,3
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-06-01,1,1
COMARAPA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-06-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-06-01,18,18
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-06-01,19,19
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-06-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-06-01,13,13
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-06-01,1,1
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-06-01,3,3
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-07-01,4,4
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-07-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-07-01,14,14
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-07-01,2,2
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-07-01,4,4
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-07-01,4,4
TARVITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-07-01,1,1
ACHACACHI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-08-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-08-01,2,2
CULPINA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-08-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-08-01,1,1
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-08-01,4,4
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-08-01,3,3
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-08-01,1,1
