municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,3,3
ALALAY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,4,4
ARBIETO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,4,4
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,12,12
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,4,4
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,4,4
BETANZOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,5,5
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,7,7
CAMARGO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,2,2
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,47,47
CARANAVI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,3,3
CARAPARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,2,2
CHIMORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,23,23
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,326,326
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,2,2
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,2,2
COROICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,3,3
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,17,17
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,169,169
EL PUENTE(STC),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,3,3
EL PUENTE(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,3,3
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,230,230
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,4,4
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,4,4
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,3,3
FILADELFIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,32,32
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,3,3
INCAHUASI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,6,6
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1763,1763
LAGUNILLAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,5,5
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,3,3
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,6,6
MOJOCOYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,3,3
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,71,71
NACEBE (SANTA ROSA DEL ABUNA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
NAZACARA DE PACAJES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,185,185
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,58,58
PAILON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
PAMPA GRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,9,9
POTOSI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,112,112
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,7,7
PUERTO GONZALO MORENO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,3,3
PUERTO VILLARROEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,2,2
PUNATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,18,18
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,64,64
QUIME,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,5,5
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,29,29
SABAYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,24,24
SAIPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,5,5
SAN ANDRES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
SAN BUENA VENTURA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,20,20
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,8,8
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,6,6
SAN LORENZO(PND),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,56,56
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,5,5
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,3,3
SAN RAFAEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
