municipality,group,variable,month,Pacientes referidos recibidos por el establecimiento,TOTAL
ACACIO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
ACHACACHI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,133,133
ACHOCALLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
AIQUILE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,20,20
ALTO BENI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
ANZALDO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
APOLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
ARANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,8,8
ARBIETO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,29,29
ATOCHA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,12,12
AYO AYO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,6,6
AZURDUY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
BATALLAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,6,6
BERMEJO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,506,506
BETANZOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
BOYUIBE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,4,4
BUENA VISTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,18,18
CAMARGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,81,81
CAMIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,104,104
CAPINOTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,35,35
CAQUIAVIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
CARANAVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,58,58
CARANGAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
CATACORA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
CHALLAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,8,8
CHARAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,30,30
CHARAÑA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
CHIMORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,27,27
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,6,6
CLIZA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,23,23
COBIJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,916,916
COCAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,3722,3722
COLCAPIRHUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,41,41
COLOMI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,5,5
COLQUECHACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
COLQUENCHA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
COLQUIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,19,19
COMBAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
COPACABANA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
COROICO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,118,118
COTOCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,22,22
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,9,9
CUEVO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,5,5
CULPINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,36,36
DESAGUADERO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,5,5
EL ALTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,4071,4071
EL TORNO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,116,116
EL VILLAR,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,7,7
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,10,10
ESCOMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,10,10
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,11,11
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
GUANAY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,5,5
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,29,29
GUTIERREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,4,4
HUACARETA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,10,10
HUANUNI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,171,171
HUAYLLAMARCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
ICLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,5,5
INCAHUASI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,3,3
IRUPANA (VILLA DE LANZA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,19,19
LA ASUNTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
LA GUARDIA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,87,87
LA PAZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,10363,10363
LAJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
LAS CARRERAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
LLALLAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,102,102
LORETO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
MACHACAMARCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
MACHARETI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,4,4
MAIRANA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,13,13
MAPIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
MECAPACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,16,16
MINEROS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,6,6
MIZQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,30,30
MOCOMOCO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
MOJOCOYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,65,65
MONTERO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1767,1767
MORO MORO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
MOROCHATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
OCURI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
OKINAWA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2391,2391
PADCAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
PADILLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,57,57
PAILON,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,5,5
PALOS BLANCOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,16,16
PASORAPA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
PATACAMAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,68,68
POCOATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
POJO (CBBA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
PORTACHUELO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,34,34
POSTRER VALLE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
POTOSI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,555,555
PRESTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,9,9
PUCARA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
PUCARANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
PUERTO CARABUCO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
PUERTO GONZALO MORENO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,8,8
PUERTO SUAREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,6,6
PUERTO VILLARROEL,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,364,364
PUNATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,909,909
QUILLACOLLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,134,134
QUIME,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,3,3
REYES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,445,445
ROBORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,5,5
RURRENABAQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,25,25
SABAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
SACABA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,636,636
SACACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
SAIPINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,1,1
SAMAIPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,18,18
SAN ANDRES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,8,8
SAN ANTONIO DE LOMERIO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,2,2
SAN BORJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2020-01-01,22,22
