,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,1,0,0,1
AIQUILE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,0,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,5,3,1,0,9
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,1,0,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,2,0,0,2
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,0,0,1,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,10,9,1,4,24
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,1,0,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,1,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,5,2,0,0,7
MIZQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,1,0,0,1
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,0,1,0,1
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,2,2,1,1,6
PALCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,0,0,0,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,1,0,0,2
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,1,1,0,3
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,0,0,0,1
ROBORE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,1,0,2,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,2,0,0,2
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,0,0,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,0,0,0,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,20,14,0,0,34
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,0,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2020-01-01,1,0,2,0,3
