,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,6,1,2,1,10
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,2,3,0,1,6
AIQUILE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,2,0,6,2,10
ALALAY,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,0,0,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,0,1,0,0,1
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,0,1,0,0,1
ANZALDO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,0,0,1,0,1
APOLO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,3,1,1,3,8
ARANI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,1,0,0,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,2,3,2,2,9
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,12,5,0,0,17
AYATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,1,3,3,5,12
BATALLAS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,2,0,0,0,2
BAURES,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,0,2,0,0,2
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,0,0,2,0,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,2,2,0,3,7
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,2,1,0,0,3
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,2,4,1,0,7
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,5,13,1,3,22
CAIROMA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,1,0,0,0,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,0,1,0,0,1
CAJUATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,1,2,0,0,3
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,0,1,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,12,13,0,1,26
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,3,2,1,1,7
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,1,2,0,1,4
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,0,1,0,2,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,6,9,0,0,15
CHAQUI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,1,2,0,0,3
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,6,1,1,2,10
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,2,3,1,1,7
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,3,3,5,2,13
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,4,9,2,2,17
CHUMA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2020-01-01,0,0,0,1,1
