,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,5,6,0,0,11
APOLO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,1,0,1
ARANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,8,2,0,0,10
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
CAJUATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,3,0,0,0,3
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,2,0,4,1,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,1,0,0,2
CLIZA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
COCAPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,51,64,11,0,126
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,0,1,1
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,1,0,1
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,0,2,2
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,1,0,0,2
CORIPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,1,0,0,2
COROICO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,1,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,3,4,0,1,8
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,62,56,12,18,148
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,8,2,0,0,10
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,2,0,1,0,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,2,0,0,2
ICLA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,0,1,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,1,0,1
