,group,variable,month,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS FUERA,PENTAVALENTE 4TA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,6,2,2,1,11
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,3,4,0,0,7
AIQUILE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,1,0,1,2,4
ALALAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,0,0,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,0,0,1,0,1
APOLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,2,2,0,0,4
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,0,0,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,2,0,0,0,2
ARQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,0,0,2,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,4,4,0,0,8
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,0,1,2,4,7
BATALLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,3,1,1,1,6
BAURES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,0,1,0,0,1
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,0,0,3,0,3
BERMEJO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,1,1,1,2,5
BETANZOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,0,1,1,1,3
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,1,2,0,0,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,2,1,0,0,3
CAJUATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,2,0,0,0,2
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,1,0,1,0,2
CAMARGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,8,11,0,0,19
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,0,2,0,0,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,1,2,0,0,3
CARANAVI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,1,2,0,0,3
CARAPARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,2,0,0,0,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,1,1,0,0,2
CHACARILLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,3,6,1,4,14
CHAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,0,0,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,4,3,7,5,19
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis,2020-01-01,1,4,0,1,6
