,group,variable,month,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 50 a 59 anos,2022-01-01,35,42,0,0,35,42,77
ACHACACHI,consulta externa,personas de 50 a 59 anos,2022-01-01,275,357,42,59,317,416,733
ACHOCALLA,consulta externa,personas de 50 a 59 anos,2022-01-01,102,148,16,17,118,165,283
AIQUILE,consulta externa,personas de 50 a 59 anos,2022-01-01,130,178,29,60,159,238,397
ALALAY,consulta externa,personas de 50 a 59 anos,2022-01-01,12,9,9,3,21,12,33
ALCALA,consulta externa,personas de 50 a 59 anos,2022-01-01,45,61,49,50,94,111,205
ALTO BENI,consulta externa,personas de 50 a 59 anos,2022-01-01,126,113,10,9,136,122,258
ANCORAIMES,consulta externa,personas de 50 a 59 anos,2022-01-01,66,62,12,17,78,79,157
ANDAMARCA,consulta externa,personas de 50 a 59 anos,2022-01-01,29,33,5,6,34,39,73
ANTEQUERA,consulta externa,personas de 50 a 59 anos,2022-01-01,16,28,8,3,24,31,55
ANZALDO,consulta externa,personas de 50 a 59 anos,2022-01-01,41,62,5,3,46,65,111
APOLO,consulta externa,personas de 50 a 59 anos,2022-01-01,130,132,18,15,148,147,295
ARAMPAMPA,consulta externa,personas de 50 a 59 anos,2022-01-01,22,23,1,1,23,24,47
ARANI,consulta externa,personas de 50 a 59 anos,2022-01-01,43,38,6,8,49,46,95
ARBIETO,consulta externa,personas de 50 a 59 anos,2022-01-01,42,93,1,5,43,98,141
ARQUE,consulta externa,personas de 50 a 59 anos,2022-01-01,56,66,0,1,56,67,123
ASCENCION DE GUARAYOS,consulta externa,personas de 50 a 59 anos,2022-01-01,110,154,5,13,115,167,282
ATOCHA,consulta externa,personas de 50 a 59 anos,2022-01-01,231,187,74,59,305,246,551
AUCAPATA,consulta externa,personas de 50 a 59 anos,2022-01-01,52,33,3,1,55,34,89
AYATA,consulta externa,personas de 50 a 59 anos,2022-01-01,75,102,7,5,82,107,189
AYO AYO,consulta externa,personas de 50 a 59 anos,2022-01-01,70,99,0,0,70,99,169
