,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2022-01-01,224,293,0,0,224,293,517
ACHACACHI,consulta externa,personas de 60 anos y mas,2022-01-01,921,885,176,195,1097,1080,2177
ACHOCALLA,consulta externa,personas de 60 anos y mas,2022-01-01,366,398,59,57,425,455,880
AIQUILE,consulta externa,personas de 60 anos y mas,2022-01-01,335,373,368,398,703,771,1474
ALALAY,consulta externa,personas de 60 anos y mas,2022-01-01,68,75,23,50,91,125,216
ALCALA,consulta externa,personas de 60 anos y mas,2022-01-01,130,127,80,84,210,211,421
ALTO BENI,consulta externa,personas de 60 anos y mas,2022-01-01,356,236,34,37,390,273,663
ANCORAIMES,consulta externa,personas de 60 anos y mas,2022-01-01,295,331,133,151,428,482,910
ANDAMARCA,consulta externa,personas de 60 anos y mas,2022-01-01,181,243,32,43,213,286,499
ANTEQUERA,consulta externa,personas de 60 anos y mas,2022-01-01,64,64,5,2,69,66,135
ANZALDO,consulta externa,personas de 60 anos y mas,2022-01-01,352,441,26,25,378,466,844
APOLO,consulta externa,personas de 60 anos y mas,2022-01-01,298,238,50,50,348,288,636
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2022-01-01,82,100,8,9,90,109,199
ARANI,consulta externa,personas de 60 anos y mas,2022-01-01,167,235,50,88,217,323,540
ARBIETO,consulta externa,personas de 60 anos y mas,2022-01-01,258,401,35,63,293,464,757
ARQUE,consulta externa,personas de 60 anos y mas,2022-01-01,112,139,2,3,114,142,256
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2022-01-01,333,277,15,16,348,293,641
ATOCHA,consulta externa,personas de 60 anos y mas,2022-01-01,204,225,88,100,292,325,617
AUCAPATA,consulta externa,personas de 60 anos y mas,2022-01-01,135,106,2,4,137,110,247
AYATA,consulta externa,personas de 60 anos y mas,2022-01-01,238,262,9,17,247,279,526
AYO AYO,consulta externa,personas de 60 anos y mas,2022-01-01,318,351,5,7,323,358,681
