,group,variable,month,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS REPETIDO,PERSONAS DE 15 A 19 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 15 a 19 anos,2022-01-01,11,18,0,1,11,19,30
ACHACACHI,consulta externa,personas de 15 a 19 anos,2022-01-01,163,190,7,7,170,197,367
ACHOCALLA,consulta externa,personas de 15 a 19 anos,2022-01-01,31,92,4,11,35,103,138
AIQUILE,consulta externa,personas de 15 a 19 anos,2022-01-01,62,83,6,11,68,94,162
ALALAY,consulta externa,personas de 15 a 19 anos,2022-01-01,4,4,0,1,4,5,9
ALCALA,consulta externa,personas de 15 a 19 anos,2022-01-01,12,25,1,22,13,47,60
ALTO BENI,consulta externa,personas de 15 a 19 anos,2022-01-01,85,77,0,1,85,78,163
ANCORAIMES,consulta externa,personas de 15 a 19 anos,2022-01-01,16,30,2,0,18,30,48
ANDAMARCA,consulta externa,personas de 15 a 19 anos,2022-01-01,7,19,0,6,7,25,32
ANTEQUERA,consulta externa,personas de 15 a 19 anos,2022-01-01,9,13,1,3,10,16,26
ANZALDO,consulta externa,personas de 15 a 19 anos,2022-01-01,16,27,4,1,20,28,48
APOLO,consulta externa,personas de 15 a 19 anos,2022-01-01,56,103,3,11,59,114,173
ARAMPAMPA,consulta externa,personas de 15 a 19 anos,2022-01-01,2,12,0,1,2,13,15
ARANI,consulta externa,personas de 15 a 19 anos,2022-01-01,17,17,1,4,18,21,39
ARBIETO,consulta externa,personas de 15 a 19 anos,2022-01-01,38,59,5,5,43,64,107
ARQUE,consulta externa,personas de 15 a 19 anos,2022-01-01,22,37,2,0,24,37,61
ASCENCION DE GUARAYOS,consulta externa,personas de 15 a 19 anos,2022-01-01,49,89,0,3,49,92,141
ATOCHA,consulta externa,personas de 15 a 19 anos,2022-01-01,69,100,11,16,80,116,196
AUCAPATA,consulta externa,personas de 15 a 19 anos,2022-01-01,20,36,0,0,20,36,56
AYATA,consulta externa,personas de 15 a 19 anos,2022-01-01,21,25,0,3,21,28,49
AYO AYO,consulta externa,personas de 15 a 19 anos,2022-01-01,43,67,0,0,43,67,110
