,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,5,7,0,0,5,7,12
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,52,52,13,6,65,58,123
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,41,19,3,5,44,24,68
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,36,22,3,3,39,25,64
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,3,2,1,0,4,2,6
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,1,9,0,1,1,10,11
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,30,54,1,1,31,55,86
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,6,11,0,1,6,12,18
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,8,2,0,1,8,3,11
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,1,3,1,0,2,3,5
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,10,12,3,2,13,14,27
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,53,44,26,13,79,57,136
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,7,2,0,0,7,2,9
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,25,11,0,3,25,14,39
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,50,54,3,10,53,64,117
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,31,25,2,2,33,27,60
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,48,30,5,0,53,30,83
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,31,27,2,2,33,29,62
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2022-01-01,21,16,0,0,21,16,37
