,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2022-01-01,12,11,0,0,12,11,23
ACHACACHI,consulta externa,personas de 5 a 9 anos,2022-01-01,105,115,5,6,110,121,231
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2022-01-01,86,89,7,6,93,95,188
AIQUILE,consulta externa,personas de 5 a 9 anos,2022-01-01,79,82,2,4,81,86,167
ALALAY,consulta externa,personas de 5 a 9 anos,2022-01-01,8,7,0,0,8,7,15
ALCALA,consulta externa,personas de 5 a 9 anos,2022-01-01,33,30,6,37,39,67,106
ALTO BENI,consulta externa,personas de 5 a 9 anos,2022-01-01,124,101,0,1,124,102,226
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2022-01-01,31,22,1,1,32,23,55
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2022-01-01,15,18,1,0,16,18,34
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2022-01-01,16,16,1,1,17,17,34
ANZALDO,consulta externa,personas de 5 a 9 anos,2022-01-01,17,19,0,2,17,21,38
APOLO,consulta externa,personas de 5 a 9 anos,2022-01-01,115,95,4,1,119,96,215
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2022-01-01,4,5,0,0,4,5,9
ARANI,consulta externa,personas de 5 a 9 anos,2022-01-01,16,18,5,5,21,23,44
ARBIETO,consulta externa,personas de 5 a 9 anos,2022-01-01,76,66,3,4,79,70,149
ARQUE,consulta externa,personas de 5 a 9 anos,2022-01-01,38,36,0,0,38,36,74
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2022-01-01,79,73,3,4,82,77,159
ATOCHA,consulta externa,personas de 5 a 9 anos,2022-01-01,151,135,25,9,176,144,320
AUCAPATA,consulta externa,personas de 5 a 9 anos,2022-01-01,25,30,0,0,25,30,55
AYATA,consulta externa,personas de 5 a 9 anos,2022-01-01,45,34,2,0,47,34,81
AYO AYO,consulta externa,personas de 5 a 9 anos,2022-01-01,61,49,0,0,61,49,110
