,group,variable,month,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 14 anos,2022-01-01,19,24,2,0,21,24,45
ACHACACHI,consulta externa,personas de 10 a 14 anos,2022-01-01,89,91,10,15,99,106,205
ACHOCALLA,consulta externa,personas de 10 a 14 anos,2022-01-01,56,73,6,16,62,89,151
AIQUILE,consulta externa,personas de 10 a 14 anos,2022-01-01,61,76,6,10,67,86,153
ALALAY,consulta externa,personas de 10 a 14 anos,2022-01-01,6,3,1,2,7,5,12
ALCALA,consulta externa,personas de 10 a 14 anos,2022-01-01,22,28,3,31,25,59,84
ALTO BENI,consulta externa,personas de 10 a 14 anos,2022-01-01,87,73,0,3,87,76,163
ANCORAIMES,consulta externa,personas de 10 a 14 anos,2022-01-01,15,27,1,3,16,30,46
ANDAMARCA,consulta externa,personas de 10 a 14 anos,2022-01-01,9,9,3,0,12,9,21
ANTEQUERA,consulta externa,personas de 10 a 14 anos,2022-01-01,6,11,0,0,6,11,17
ANZALDO,consulta externa,personas de 10 a 14 anos,2022-01-01,13,25,2,0,15,25,40
APOLO,consulta externa,personas de 10 a 14 anos,2022-01-01,54,100,1,3,55,103,158
ARAMPAMPA,consulta externa,personas de 10 a 14 anos,2022-01-01,7,11,1,0,8,11,19
ARANI,consulta externa,personas de 10 a 14 anos,2022-01-01,12,11,3,4,15,15,30
ARBIETO,consulta externa,personas de 10 a 14 anos,2022-01-01,43,40,3,0,46,40,86
ARQUE,consulta externa,personas de 10 a 14 anos,2022-01-01,38,34,0,0,38,34,72
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 14 anos,2022-01-01,44,51,3,2,47,53,100
ATOCHA,consulta externa,personas de 10 a 14 anos,2022-01-01,101,118,12,17,113,135,248
AUCAPATA,consulta externa,personas de 10 a 14 anos,2022-01-01,14,33,1,1,15,34,49
AYATA,consulta externa,personas de 10 a 14 anos,2022-01-01,32,21,3,1,35,22,57
AYO AYO,consulta externa,personas de 10 a 14 anos,2022-01-01,46,53,1,0,47,53,100
