,group,variable,month,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 20 a 39 anos,2022-01-01,53,92,1,1,54,93,147
ACHACACHI,consulta externa,personas de 20 a 39 anos,2022-01-01,634,1117,36,110,670,1227,1897
ACHOCALLA,consulta externa,personas de 20 a 39 anos,2022-01-01,182,576,27,85,209,661,870
AIQUILE,consulta externa,personas de 20 a 39 anos,2022-01-01,244,453,19,84,263,537,800
ALALAY,consulta externa,personas de 20 a 39 anos,2022-01-01,10,25,4,5,14,30,44
ALCALA,consulta externa,personas de 20 a 39 anos,2022-01-01,88,154,82,112,170,266,436
ALTO BENI,consulta externa,personas de 20 a 39 anos,2022-01-01,301,433,4,10,305,443,748
ANCORAIMES,consulta externa,personas de 20 a 39 anos,2022-01-01,87,119,10,11,97,130,227
ANDAMARCA,consulta externa,personas de 20 a 39 anos,2022-01-01,48,87,4,8,52,95,147
ANTEQUERA,consulta externa,personas de 20 a 39 anos,2022-01-01,98,129,23,26,121,155,276
ANZALDO,consulta externa,personas de 20 a 39 anos,2022-01-01,63,144,6,17,69,161,230
APOLO,consulta externa,personas de 20 a 39 anos,2022-01-01,238,572,25,92,263,664,927
ARAMPAMPA,consulta externa,personas de 20 a 39 anos,2022-01-01,21,52,0,3,21,55,76
ARANI,consulta externa,personas de 20 a 39 anos,2022-01-01,76,136,26,38,102,174,276
ARBIETO,consulta externa,personas de 20 a 39 anos,2022-01-01,123,427,15,25,138,452,590
ARQUE,consulta externa,personas de 20 a 39 anos,2022-01-01,120,198,6,5,126,203,329
ASCENCION DE GUARAYOS,consulta externa,personas de 20 a 39 anos,2022-01-01,109,227,10,14,119,241,360
ATOCHA,consulta externa,personas de 20 a 39 anos,2022-01-01,509,639,111,135,620,774,1394
AUCAPATA,consulta externa,personas de 20 a 39 anos,2022-01-01,150,204,7,4,157,208,365
AYATA,consulta externa,personas de 20 a 39 anos,2022-01-01,89,153,4,4,93,157,250
AYO AYO,consulta externa,personas de 20 a 39 anos,2022-01-01,166,234,0,0,166,234,400
