,group,variable,month,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 40 a 49 anos,2022-01-01,22,38,0,1,22,39,61
ACHACACHI,consulta externa,personas de 40 a 49 anos,2022-01-01,236,330,41,49,277,379,656
ACHOCALLA,consulta externa,personas de 40 a 49 anos,2022-01-01,81,199,7,31,88,230,318
AIQUILE,consulta externa,personas de 40 a 49 anos,2022-01-01,129,176,28,45,157,221,378
ALALAY,consulta externa,personas de 40 a 49 anos,2022-01-01,11,9,4,3,15,12,27
ALCALA,consulta externa,personas de 40 a 49 anos,2022-01-01,30,81,19,55,49,136,185
ALTO BENI,consulta externa,personas de 40 a 49 anos,2022-01-01,127,192,1,11,128,203,331
ANCORAIMES,consulta externa,personas de 40 a 49 anos,2022-01-01,54,60,7,9,61,69,130
ANDAMARCA,consulta externa,personas de 40 a 49 anos,2022-01-01,19,31,3,3,22,34,56
ANTEQUERA,consulta externa,personas de 40 a 49 anos,2022-01-01,29,30,12,5,41,35,76
ANZALDO,consulta externa,personas de 40 a 49 anos,2022-01-01,58,69,4,4,62,73,135
APOLO,consulta externa,personas de 40 a 49 anos,2022-01-01,125,184,17,24,142,208,350
ARAMPAMPA,consulta externa,personas de 40 a 49 anos,2022-01-01,23,19,0,0,23,19,42
ARANI,consulta externa,personas de 40 a 49 anos,2022-01-01,31,33,13,4,44,37,81
ARBIETO,consulta externa,personas de 40 a 49 anos,2022-01-01,43,113,5,10,48,123,171
ARQUE,consulta externa,personas de 40 a 49 anos,2022-01-01,59,74,1,0,60,74,134
ASCENCION DE GUARAYOS,consulta externa,personas de 40 a 49 anos,2022-01-01,83,155,5,14,88,169,257
ATOCHA,consulta externa,personas de 40 a 49 anos,2022-01-01,304,307,98,128,402,435,837
AUCAPATA,consulta externa,personas de 40 a 49 anos,2022-01-01,40,48,1,2,41,50,91
AYATA,consulta externa,personas de 40 a 49 anos,2022-01-01,56,107,1,7,57,114,171
AYO AYO,consulta externa,personas de 40 a 49 anos,2022-01-01,69,97,0,0,69,97,166
