,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,menores de 6 meses,2022-01-01,4,2,0,0,4,2,6
ACHACACHI,consulta externa,menores de 6 meses,2022-01-01,90,75,8,14,98,89,187
ACHOCALLA,consulta externa,menores de 6 meses,2022-01-01,24,32,8,8,32,40,72
AIQUILE,consulta externa,menores de 6 meses,2022-01-01,28,26,4,4,32,30,62
ALALAY,consulta externa,menores de 6 meses,2022-01-01,3,2,1,1,4,3,7
ALCALA,consulta externa,menores de 6 meses,2022-01-01,10,5,2,0,12,5,17
ALTO BENI,consulta externa,menores de 6 meses,2022-01-01,34,35,0,0,34,35,69
ANCORAIMES,consulta externa,menores de 6 meses,2022-01-01,9,13,0,0,9,13,22
ANDAMARCA,consulta externa,menores de 6 meses,2022-01-01,3,1,2,1,5,2,7
ANTEQUERA,consulta externa,menores de 6 meses,2022-01-01,1,2,0,1,1,3,4
ANZALDO,consulta externa,menores de 6 meses,2022-01-01,17,11,2,1,19,12,31
APOLO,consulta externa,menores de 6 meses,2022-01-01,68,55,35,17,103,72,175
ARAMPAMPA,consulta externa,menores de 6 meses,2022-01-01,4,4,0,0,4,4,8
ARANI,consulta externa,menores de 6 meses,2022-01-01,14,14,4,0,18,14,32
ARBIETO,consulta externa,menores de 6 meses,2022-01-01,64,61,5,10,69,71,140
ARQUE,consulta externa,menores de 6 meses,2022-01-01,21,15,1,1,22,16,38
ASCENCION DE GUARAYOS,consulta externa,menores de 6 meses,2022-01-01,33,29,3,1,36,30,66
ATOCHA,consulta externa,menores de 6 meses,2022-01-01,21,26,1,0,22,26,48
AUCAPATA,consulta externa,menores de 6 meses,2022-01-01,17,14,0,0,17,14,31
AYATA,consulta externa,menores de 6 meses,2022-01-01,14,8,0,0,14,8,22
AYO AYO,consulta externa,menores de 6 meses,2022-01-01,15,12,2,4,17,16,33
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 6 meses,2022-01-01,45,40,1,0,46,40,86
AZURDUY,consulta externa,menores de 6 meses,2022-01-01,38,23,2,1,40,24,64
