,group,variable,month,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 50 a 59 anos,2023-01-01,26,27,0,0,26,27,53
ACHACACHI,consulta externa,personas de 50 a 59 anos,2023-01-01,185,248,67,98,252,346,598
ACHOCALLA,consulta externa,personas de 50 a 59 anos,2023-01-01,87,117,4,15,91,132,223
AIQUILE,consulta externa,personas de 50 a 59 anos,2023-01-01,93,185,47,58,140,243,383
ALALAY,consulta externa,personas de 50 a 59 anos,2023-01-01,13,12,4,2,17,14,31
ALCALA,consulta externa,personas de 50 a 59 anos,2023-01-01,38,76,9,16,47,92,139
ALTO BENI,consulta externa,personas de 50 a 59 anos,2023-01-01,100,67,15,14,115,81,196
ANCORAIMES,consulta externa,personas de 50 a 59 anos,2023-01-01,41,55,20,11,61,66,127
ANDAMARCA,consulta externa,personas de 50 a 59 anos,2023-01-01,19,26,1,3,20,29,49
ANTEQUERA,consulta externa,personas de 50 a 59 anos,2023-01-01,8,11,0,1,8,12,20
ANZALDO,consulta externa,personas de 50 a 59 anos,2023-01-01,46,94,8,9,54,103,157
APOLO,consulta externa,personas de 50 a 59 anos,2023-01-01,68,68,3,10,71,78,149
ARAMPAMPA,consulta externa,personas de 50 a 59 anos,2023-01-01,9,17,0,0,9,17,26
ARANI,consulta externa,personas de 50 a 59 anos,2023-01-01,31,34,11,17,42,51,93
ARBIETO,consulta externa,personas de 50 a 59 anos,2023-01-01,25,82,8,14,33,96,129
ARQUE,consulta externa,personas de 50 a 59 anos,2023-01-01,43,65,1,0,44,65,109
ASCENCION DE GUARAYOS,consulta externa,personas de 50 a 59 anos,2023-01-01,96,125,3,12,99,137,236
ATOCHA,consulta externa,personas de 50 a 59 anos,2023-01-01,256,197,62,52,318,249,567
AUCAPATA,consulta externa,personas de 50 a 59 anos,2023-01-01,24,31,0,1,24,32,56
AYATA,consulta externa,personas de 50 a 59 anos,2023-01-01,56,97,7,6,63,103,166
AYO AYO,consulta externa,personas de 50 a 59 anos,2023-01-01,31,31,0,0,31,31,62
