,group,variable,month,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 20 a 39 anos,2023-01-01,13,32,0,0,13,32,45
ACHACACHI,consulta externa,personas de 20 a 39 anos,2023-01-01,397,746,89,202,486,948,1434
ACHOCALLA,consulta externa,personas de 20 a 39 anos,2023-01-01,140,539,17,59,157,598,755
AIQUILE,consulta externa,personas de 20 a 39 anos,2023-01-01,132,409,19,128,151,537,688
ALALAY,consulta externa,personas de 20 a 39 anos,2023-01-01,7,18,1,2,8,20,28
ALCALA,consulta externa,personas de 20 a 39 anos,2023-01-01,69,125,10,8,79,133,212
ALTO BENI,consulta externa,personas de 20 a 39 anos,2023-01-01,200,336,8,10,208,346,554
ANCORAIMES,consulta externa,personas de 20 a 39 anos,2023-01-01,67,110,6,13,73,123,196
ANDAMARCA,consulta externa,personas de 20 a 39 anos,2023-01-01,71,70,1,3,72,73,145
ANTEQUERA,consulta externa,personas de 20 a 39 anos,2023-01-01,23,86,3,14,26,100,126
ANZALDO,consulta externa,personas de 20 a 39 anos,2023-01-01,92,156,5,9,97,165,262
APOLO,consulta externa,personas de 20 a 39 anos,2023-01-01,129,391,5,68,134,459,593
ARAMPAMPA,consulta externa,personas de 20 a 39 anos,2023-01-01,19,28,0,1,19,29,48
ARANI,consulta externa,personas de 20 a 39 anos,2023-01-01,55,131,7,41,62,172,234
ARBIETO,consulta externa,personas de 20 a 39 anos,2023-01-01,98,390,8,43,106,433,539
ARQUE,consulta externa,personas de 20 a 39 anos,2023-01-01,77,122,1,0,78,122,200
ASCENCION DE GUARAYOS,consulta externa,personas de 20 a 39 anos,2023-01-01,112,312,5,10,117,322,439
ATOCHA,consulta externa,personas de 20 a 39 anos,2023-01-01,404,481,82,105,486,586,1072
AUCAPATA,consulta externa,personas de 20 a 39 anos,2023-01-01,88,150,2,0,90,150,240
AYATA,consulta externa,personas de 20 a 39 anos,2023-01-01,68,153,0,4,68,157,225
AYO AYO,consulta externa,personas de 20 a 39 anos,2023-01-01,69,122,1,0,70,122,192
