,group,variable,month,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 40 a 49 anos,2023-01-01,17,30,0,0,17,30,47
ACHACACHI,consulta externa,personas de 40 a 49 anos,2023-01-01,159,234,46,55,205,289,494
ACHOCALLA,consulta externa,personas de 40 a 49 anos,2023-01-01,50,170,9,27,59,197,256
AIQUILE,consulta externa,personas de 40 a 49 anos,2023-01-01,83,196,28,64,111,260,371
ALALAY,consulta externa,personas de 40 a 49 anos,2023-01-01,11,16,1,3,12,19,31
ALCALA,consulta externa,personas de 40 a 49 anos,2023-01-01,44,89,16,18,60,107,167
ALTO BENI,consulta externa,personas de 40 a 49 anos,2023-01-01,105,126,6,12,111,138,249
ANCORAIMES,consulta externa,personas de 40 a 49 anos,2023-01-01,27,45,4,16,31,61,92
ANDAMARCA,consulta externa,personas de 40 a 49 anos,2023-01-01,21,20,2,1,23,21,44
ANTEQUERA,consulta externa,personas de 40 a 49 anos,2023-01-01,5,9,1,1,6,10,16
ANZALDO,consulta externa,personas de 40 a 49 anos,2023-01-01,36,71,4,6,40,77,117
APOLO,consulta externa,personas de 40 a 49 anos,2023-01-01,55,109,3,17,58,126,184
ARAMPAMPA,consulta externa,personas de 40 a 49 anos,2023-01-01,9,28,0,0,9,28,37
ARANI,consulta externa,personas de 40 a 49 anos,2023-01-01,12,44,9,14,21,58,79
ARBIETO,consulta externa,personas de 40 a 49 anos,2023-01-01,41,114,5,6,46,120,166
ARQUE,consulta externa,personas de 40 a 49 anos,2023-01-01,39,60,1,0,40,60,100
ASCENCION DE GUARAYOS,consulta externa,personas de 40 a 49 anos,2023-01-01,72,151,6,7,78,158,236
ATOCHA,consulta externa,personas de 40 a 49 anos,2023-01-01,300,284,78,83,378,367,745
AUCAPATA,consulta externa,personas de 40 a 49 anos,2023-01-01,34,44,2,0,36,44,80
AYATA,consulta externa,personas de 40 a 49 anos,2023-01-01,44,59,2,3,46,62,108
AYO AYO,consulta externa,personas de 40 a 49 anos,2023-01-01,30,62,0,1,30,63,93
