,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,7,5,0,0,7,5,12
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,41,36,12,18,53,54,107
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,49,42,0,2,49,44,93
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,32,35,21,31,53,66,119
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,1,4,1,0,2,4,6
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,11,4,1,0,12,4,16
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,49,35,3,2,52,37,89
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,7,8,3,3,10,11,21
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,2,3,0,0,2,3,5
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,0,1,0,0,0,1,1
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,20,28,2,1,22,29,51
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,34,51,21,30,55,81,136
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,4,6,0,0,4,6,10
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,10,2,1,12,11,23
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,88,64,13,12,101,76,177
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,32,16,0,0,32,16,48
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,76,54,4,0,80,54,134
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,28,27,1,3,29,30,59
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,16,14,0,0,16,14,30
