,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,menores de 6 meses,2023-01-01,4,2,0,0,4,2,6
ACHACACHI,consulta externa,menores de 6 meses,2023-01-01,60,72,8,17,68,89,157
ACHOCALLA,consulta externa,menores de 6 meses,2023-01-01,53,53,2,8,55,61,116
AIQUILE,consulta externa,menores de 6 meses,2023-01-01,37,33,19,22,56,55,111
ALALAY,consulta externa,menores de 6 meses,2023-01-01,2,5,1,0,3,5,8
ALCALA,consulta externa,menores de 6 meses,2023-01-01,12,6,1,0,13,6,19
ALTO BENI,consulta externa,menores de 6 meses,2023-01-01,27,33,1,3,28,36,64
ANCORAIMES,consulta externa,menores de 6 meses,2023-01-01,12,7,4,2,16,9,25
ANDAMARCA,consulta externa,menores de 6 meses,2023-01-01,2,3,0,0,2,3,5
ANTEQUERA,consulta externa,menores de 6 meses,2023-01-01,1,4,0,0,1,4,5
ANZALDO,consulta externa,menores de 6 meses,2023-01-01,18,22,1,1,19,23,42
APOLO,consulta externa,menores de 6 meses,2023-01-01,47,46,29,24,76,70,146
ARAMPAMPA,consulta externa,menores de 6 meses,2023-01-01,0,1,0,0,0,1,1
ARANI,consulta externa,menores de 6 meses,2023-01-01,14,10,7,0,21,10,31
ARBIETO,consulta externa,menores de 6 meses,2023-01-01,71,72,14,13,85,85,170
ARQUE,consulta externa,menores de 6 meses,2023-01-01,31,20,0,0,31,20,51
ASCENCION DE GUARAYOS,consulta externa,menores de 6 meses,2023-01-01,51,47,4,3,55,50,105
ATOCHA,consulta externa,menores de 6 meses,2023-01-01,24,29,2,1,26,30,56
AUCAPATA,consulta externa,menores de 6 meses,2023-01-01,10,20,0,0,10,20,30
AYATA,consulta externa,menores de 6 meses,2023-01-01,13,12,0,1,13,13,26
AYO AYO,consulta externa,menores de 6 meses,2023-01-01,7,8,8,2,15,10,25
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 6 meses,2023-01-01,49,45,0,3,49,48,97
AZURDUY,consulta externa,menores de 6 meses,2023-01-01,55,37,0,5,55,42,97
