,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,25,30,0,1,25,31,56
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,156,137,52,73,208,210,418
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,119,104,20,14,139,118,257
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,113,132,79,69,192,201,393
ALALAY,consulta externa,ninos  de 1 a 4 anos,2023-01-01,8,7,5,2,13,9,22
ALCALA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,38,42,5,4,43,46,89
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,152,155,5,7,157,162,319
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2023-01-01,37,35,3,11,40,46,86
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,23,19,0,0,23,19,42
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,11,7,8,2,19,9,28
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,63,48,6,5,69,53,122
APOLO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,178,153,54,31,232,184,416
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,18,12,1,0,19,12,31
ARANI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,47,40,10,6,57,46,103
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,245,230,35,49,280,279,559
ARQUE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,85,100,0,0,85,100,185
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,227,220,8,6,235,226,461
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,153,122,14,10,167,132,299
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,61,58,0,0,61,58,119
AYATA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,50,42,4,2,54,44,98
