,group,variable,month,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 14 anos,2023-01-01,4,7,0,0,4,7,11
ACHACACHI,consulta externa,personas de 10 a 14 anos,2023-01-01,81,69,7,17,88,86,174
ACHOCALLA,consulta externa,personas de 10 a 14 anos,2023-01-01,71,66,7,4,78,70,148
AIQUILE,consulta externa,personas de 10 a 14 anos,2023-01-01,55,65,8,6,63,71,134
ALALAY,consulta externa,personas de 10 a 14 anos,2023-01-01,2,6,0,1,2,7,9
ALCALA,consulta externa,personas de 10 a 14 anos,2023-01-01,15,22,3,1,18,23,41
ALTO BENI,consulta externa,personas de 10 a 14 anos,2023-01-01,58,47,1,3,59,50,109
ANCORAIMES,consulta externa,personas de 10 a 14 anos,2023-01-01,21,21,0,1,21,22,43
ANDAMARCA,consulta externa,personas de 10 a 14 anos,2023-01-01,12,13,0,0,12,13,25
ANTEQUERA,consulta externa,personas de 10 a 14 anos,2023-01-01,5,2,1,0,6,2,8
ANZALDO,consulta externa,personas de 10 a 14 anos,2023-01-01,32,42,1,2,33,44,77
APOLO,consulta externa,personas de 10 a 14 anos,2023-01-01,50,58,2,1,52,59,111
ARAMPAMPA,consulta externa,personas de 10 a 14 anos,2023-01-01,7,6,1,0,8,6,14
ARANI,consulta externa,personas de 10 a 14 anos,2023-01-01,21,19,10,4,31,23,54
ARBIETO,consulta externa,personas de 10 a 14 anos,2023-01-01,52,37,4,4,56,41,97
ARQUE,consulta externa,personas de 10 a 14 anos,2023-01-01,36,31,1,0,37,31,68
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 14 anos,2023-01-01,94,79,2,5,96,84,180
ATOCHA,consulta externa,personas de 10 a 14 anos,2023-01-01,77,85,7,7,84,92,176
AUCAPATA,consulta externa,personas de 10 a 14 anos,2023-01-01,23,14,0,0,23,14,37
AYATA,consulta externa,personas de 10 a 14 anos,2023-01-01,30,30,4,1,34,31,65
AYO AYO,consulta externa,personas de 10 a 14 anos,2023-01-01,19,28,0,8,19,36,55
