,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2023-01-01,229,306,0,0,229,306,535
ACHACACHI,consulta externa,personas de 60 anos y mas,2023-01-01,709,707,263,340,972,1047,2019
ACHOCALLA,consulta externa,personas de 60 anos y mas,2023-01-01,332,461,42,52,374,513,887
AIQUILE,consulta externa,personas de 60 anos y mas,2023-01-01,309,437,497,589,806,1026,1832
ALALAY,consulta externa,personas de 60 anos y mas,2023-01-01,86,125,13,22,99,147,246
ALCALA,consulta externa,personas de 60 anos y mas,2023-01-01,134,151,40,57,174,208,382
ALTO BENI,consulta externa,personas de 60 anos y mas,2023-01-01,252,178,45,40,297,218,515
ANCORAIMES,consulta externa,personas de 60 anos y mas,2023-01-01,226,233,153,178,379,411,790
ANDAMARCA,consulta externa,personas de 60 anos y mas,2023-01-01,189,227,7,16,196,243,439
ANTEQUERA,consulta externa,personas de 60 anos y mas,2023-01-01,36,44,3,0,39,44,83
ANZALDO,consulta externa,personas de 60 anos y mas,2023-01-01,338,461,12,20,350,481,831
APOLO,consulta externa,personas de 60 anos y mas,2023-01-01,199,127,40,25,239,152,391
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2023-01-01,91,106,2,2,93,108,201
ARANI,consulta externa,personas de 60 anos y mas,2023-01-01,165,260,72,144,237,404,641
ARBIETO,consulta externa,personas de 60 anos y mas,2023-01-01,349,478,71,72,420,550,970
ARQUE,consulta externa,personas de 60 anos y mas,2023-01-01,174,232,1,2,175,234,409
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2023-01-01,265,202,20,23,285,225,510
ATOCHA,consulta externa,personas de 60 anos y mas,2023-01-01,238,263,85,62,323,325,648
AUCAPATA,consulta externa,personas de 60 anos y mas,2023-01-01,77,76,4,3,81,79,160
AYATA,consulta externa,personas de 60 anos y mas,2023-01-01,184,236,13,27,197,263,460
AYO AYO,consulta externa,personas de 60 anos y mas,2023-01-01,251,264,13,20,264,284,548
