,group,variable,month,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS REPETIDO,PERSONAS DE 15 A 19 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 15 a 19 anos,2023-01-01,8,14,0,0,8,14,22
ACHACACHI,consulta externa,personas de 15 a 19 anos,2023-01-01,297,172,125,35,422,207,629
ACHOCALLA,consulta externa,personas de 15 a 19 anos,2023-01-01,49,85,10,3,59,88,147
AIQUILE,consulta externa,personas de 15 a 19 anos,2023-01-01,43,88,3,15,46,103,149
ALALAY,consulta externa,personas de 15 a 19 anos,2023-01-01,5,4,1,3,6,7,13
ALCALA,consulta externa,personas de 15 a 19 anos,2023-01-01,14,22,2,1,16,23,39
ALTO BENI,consulta externa,personas de 15 a 19 anos,2023-01-01,56,60,4,0,60,60,120
ANCORAIMES,consulta externa,personas de 15 a 19 anos,2023-01-01,40,19,3,2,43,21,64
ANDAMARCA,consulta externa,personas de 15 a 19 anos,2023-01-01,13,13,1,0,14,13,27
ANTEQUERA,consulta externa,personas de 15 a 19 anos,2023-01-01,4,10,0,2,4,12,16
ANZALDO,consulta externa,personas de 15 a 19 anos,2023-01-01,20,39,1,2,21,41,62
APOLO,consulta externa,personas de 15 a 19 anos,2023-01-01,46,88,1,16,47,104,151
ARAMPAMPA,consulta externa,personas de 15 a 19 anos,2023-01-01,4,7,0,0,4,7,11
ARANI,consulta externa,personas de 15 a 19 anos,2023-01-01,20,29,6,10,26,39,65
ARBIETO,consulta externa,personas de 15 a 19 anos,2023-01-01,38,67,1,1,39,68,107
ARQUE,consulta externa,personas de 15 a 19 anos,2023-01-01,16,27,0,0,16,27,43
ASCENCION DE GUARAYOS,consulta externa,personas de 15 a 19 anos,2023-01-01,62,87,5,3,67,90,157
ATOCHA,consulta externa,personas de 15 a 19 anos,2023-01-01,37,85,7,11,44,96,140
AUCAPATA,consulta externa,personas de 15 a 19 anos,2023-01-01,16,24,1,0,17,24,41
AYATA,consulta externa,personas de 15 a 19 anos,2023-01-01,18,29,1,0,19,29,48
AYO AYO,consulta externa,personas de 15 a 19 anos,2023-01-01,20,29,0,0,20,29,49
