,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2023-01-01,7,9,0,0,7,9,16
ACHACACHI,consulta externa,personas de 5 a 9 anos,2023-01-01,85,88,8,20,93,108,201
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2023-01-01,98,82,6,2,104,84,188
AIQUILE,consulta externa,personas de 5 a 9 anos,2023-01-01,79,82,8,8,87,90,177
ALALAY,consulta externa,personas de 5 a 9 anos,2023-01-01,3,1,0,0,3,1,4
ALCALA,consulta externa,personas de 5 a 9 anos,2023-01-01,40,23,3,1,43,24,67
ALTO BENI,consulta externa,personas de 5 a 9 anos,2023-01-01,88,87,0,2,88,89,177
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2023-01-01,22,22,4,1,26,23,49
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2023-01-01,13,17,1,0,14,17,31
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2023-01-01,7,11,1,1,8,12,20
ANZALDO,consulta externa,personas de 5 a 9 anos,2023-01-01,25,33,0,0,25,33,58
APOLO,consulta externa,personas de 5 a 9 anos,2023-01-01,71,77,0,4,71,81,152
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2023-01-01,7,6,0,0,7,6,13
ARANI,consulta externa,personas de 5 a 9 anos,2023-01-01,23,20,8,3,31,23,54
ARBIETO,consulta externa,personas de 5 a 9 anos,2023-01-01,75,78,3,0,78,78,156
ARQUE,consulta externa,personas de 5 a 9 anos,2023-01-01,43,45,0,0,43,45,88
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2023-01-01,165,174,11,3,176,177,353
ATOCHA,consulta externa,personas de 5 a 9 anos,2023-01-01,94,81,11,8,105,89,194
AUCAPATA,consulta externa,personas de 5 a 9 anos,2023-01-01,30,33,2,1,32,34,66
AYATA,consulta externa,personas de 5 a 9 anos,2023-01-01,38,25,1,0,39,25,64
AYO AYO,consulta externa,personas de 5 a 9 anos,2023-01-01,19,20,1,1,20,21,41
