municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,37,37
ACHACACHI,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,172,172
ACHOCALLA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,303,303
AIQUILE,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,212,212
ALALAY,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,26,26
ALCALA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,23,23
ALTO BENI,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,29,29
ANCORAIMES,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,66,66
ANDAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,27,27
ANTEQUERA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,9,9
ANZALDO,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,9,9
APOLO,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,168,168
ARAMPAMPA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,37,37
ARANI,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,84,84
ARBIETO,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,268,268
ARQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,122,122
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,28,28
ATOCHA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,57,57
AUCAPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,48,48
AYATA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,66,66
AYO AYO,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,218,218
AZURDUY,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,2,2
BATALLAS,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,55,55
BELEN DE ANDAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,13,13
BELEN DE URMIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,9,9
BELLA FLOR,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,41,41
BETANZOS,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,356,356
BOLIVAR,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,53,53
BOLPEBRA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,15,15
BOYUIBE,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,50,50
BUENA VISTA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,110,110
CABEZAS,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,21,21
CAIROMA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,78,78
"CAIZA ""D""",micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,127,127
CAJUATA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,3,3
CALACOTO,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,24,24
CALAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,138,138
CAMARGO,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,123,123
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,37,37
CAMIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,214,214
CAPINOTA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,214,214
CAQUIAVIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,66,66
CARACOLLO,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,102,102
CARANAVI,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,204,204
CARAPARI,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,125,125
CARIPUYO,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,65,65
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,14,14
CATACORA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,13,13
CHACARILLA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,9,9
CHALLAPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,355,355
CHAQUI,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,105,105
CHARAGUA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,67,67
CHARAÑA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,16,16
CHAYANTA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,106,106
CHIMORE,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,262,262
CHIPAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,12,12
CHOQUE COTA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,19,19
CHULUMANI (V. DE LA LIBERTAD),micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,65,65
CHUMA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,83,83
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,80,80
CKOCHAS,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,132,132
CLIZA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,120,120
COBIJA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,223,223
COCAPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,212,212
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,2688,2688
COIPASA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,4,4
COLCAPIRHUA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,248,248
"COLCHA ""K""",micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,111,111
COLLANA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,14,14
COLOMI,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,250,250
COLPA BELGICA,micronutrientes y lactancia materna,ninas(os) de 1 ano que reciben alimento complementario,2024-01-01,57,57
