municipality,group,variable,month,3. Niñas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),TOTAL
BAURES,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,1,1
COTAGAITA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,2,2
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,24,24
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,2,2
GIA-TIM,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,1,1
GUAYARAMERIN,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,2,2
HUACARAJE,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,3,3
HUANUNI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,7,7
LA PAZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,47,47
ORURO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,4,4
PORONGO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,1,1
POTOSI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,36,36
PUERTO SUAREZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,2,2
SACABA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,2,2
SAIPINA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,2,2
SAN BORJA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,5,5
SAN IGNACIO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,1,1
SAN RAMON SCZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,7,7
SANTA ROSA DEL SARA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,7,7
TIQUIPAYA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,2,2
TRINIDAD,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,2,2
