municipality,group,variable,month,Niñas(os) de 1 año con dosis completas de zinc (Talla Baja),TOTAL
ACACIO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
ACHACACHI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
ACHOCALLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,6,6
AIQUILE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,9,9
ALTO BENI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
ANCORAIMES,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,5,5
ANZALDO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
APOLO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
ARBIETO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,4,4
ARQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,3,3
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
ATOCHA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
AYATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
AYO AYO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,9,9
AZURDUY,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
BATALLAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
BAURES,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
BERMEJO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
BETANZOS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,12,12
BOLIVAR,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,6,6
BOLPEBRA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
BOYUIBE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
"CAIZA ""D""",micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CALACOTO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
CALAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,3,3
CAMARGO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
CAMIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CAPINOTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,9,9
CAQUIAVIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
CARANAVI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CARAPARI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CARIPUYO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,3,3
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CATACORA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CHALLAPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,10,10
CHIMORE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
CHOQUE COTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CKOCHAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,6,6
CLIZA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,4,4
COBIJA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
COCAPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,7,7
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,84,84
COLCAPIRHUA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,7,7
"COLCHA ""K""",micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
COLLANA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
COLOMI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,8,8
COLQUECHACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,10,10
COLQUENCHA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,4,4
COLQUIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
COMARAPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,3,3
COPACABANA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CORO CORO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
COROICO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
CORQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
COTAGAITA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,5,5
COTOCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,3,3
CUCHUMUELA (V. G. VILLARROEL),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CUEVO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CULPINA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,4,4
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
EL ALTO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,104,104
EL CHORO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
EL PUENTE(TJA),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,3,3
EL TORNO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,6,6
ENTRE RIOS TRJ,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,5,5
ESCOMA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,3,3
EXALTACION,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
GAIOC JATUN AYLLU YURA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
GENERAL SAAVEDRA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
GIA-TIM,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,4,4
GUANAY,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
GUAYARAMERIN,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2024-01-01,8,8
