municipality,group,variable,month,Niñas(os) de 2 años a menores de 5 años con 2da dosis vitamina A,TOTAL
ACACIO,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,17,17
ACHACACHI,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,21,21
ACHOCALLA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,36,36
AIQUILE,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,11,11
ALALAY,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,1,1
ALCALA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,5,5
ALTO BENI,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,23,23
ANCORAIMES,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,19,19
ANDAMARCA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,5,5
ANTEQUERA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,2,2
ANZALDO,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,13,13
APOLO,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,23,23
ARAMPAMPA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,3,3
ARANI,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,12,12
ARBIETO,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,30,30
ARQUE,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,19,19
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,33,33
ATOCHA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,14,14
AUCAPATA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,2,2
AYATA,micronutrientes y lactancia materna,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2024-01-01,12,12
