municipality,group,variable,month,Niñas(os) menores de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,9,9
ACHACACHI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,86,86
ACHOCALLA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,161,161
AIQUILE,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,102,102
ALALAY,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,12,12
ALCALA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,16,16
ALTO BENI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,7,7
ANCORAIMES,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,17,17
ANDAMARCA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,19,19
ANTEQUERA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,10,10
ANZALDO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,3,3
APOLO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,123,123
ARAMPAMPA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,10,10
ARANI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,44,44
ARBIETO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,122,122
ARQUE,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,72,72
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,16,16
ATOCHA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,40,40
AUCAPATA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,24,24
AYATA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,47,47
AYO AYO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,107,107
BATALLAS,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,37,37
BAURES,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,2,2
BELEN DE ANDAMARCA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,6,6
BELEN DE URMIRI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,7,7
BELLA FLOR,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,19,19
BETANZOS,micronutrientes y lactancia materna,ninas(os) menores de 1 ano que reciben alimento complementario,2024-01-01,175,175
