municipality,group,variable,month,Niñas(os) menores de 1 año con dosis completas de zinc (Talla Baja),TOTAL
AIQUILE,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
ALALAY,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
ALTO BENI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
APOLO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
ARANI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
ARBIETO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,5,5
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
ATOCHA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
AYO AYO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
AZURDUY,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
BATALLAS,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
BAURES,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
BERMEJO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
BETANZOS,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,3,3
BOLIVAR,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
BOYUIBE,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,4,4
CABEZAS,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
CAPINOTA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
CAQUIAVIRI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CARANAVI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,9,9
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CHALLAPATA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,3,3
CHAQUI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CHAYANTA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CHIMORE,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CKOCHAS,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
CLIZA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
COCAPATA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,28,28
COLCAPIRHUA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,3,3
"COLCHA ""K""",micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
COLOMI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,6,6
COLQUECHACA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
COLQUENCHA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
COLQUIRI,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CORO CORO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,3,3
COTAGAITA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
CULPINA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,2,2
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,76,76
EL CHORO,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
ESCOMA,micronutrientes y lactancia materna,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2024-01-01,1,1
