,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVOS,PERSONAS DE 60 AÑOS Y MÁS NUEVOS,PERSONAS DE 60 AÑOS Y MÁS REPETIDOS,PERSONAS DE 60 AÑOS Y MÁS REPETIDOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2009-01-01,22,33,1,0,23,33,56
ACHACACHI,consulta externa,personas de 60 anos y mas,2009-01-01,303,292,71,85,374,377,751
ACHOCALLA,consulta externa,personas de 60 anos y mas,2009-01-01,12,16,0,0,12,16,28
AIQUILE,consulta externa,personas de 60 anos y mas,2009-01-01,152,166,26,9,178,175,353
ALALAY,consulta externa,personas de 60 anos y mas,2009-01-01,4,4,2,0,6,4,10
ALCALA,consulta externa,personas de 60 anos y mas,2009-01-01,23,42,2,6,25,48,73
ANCORAIMES,consulta externa,personas de 60 anos y mas,2009-01-01,94,103,21,25,115,128,243
ANDAMARCA,consulta externa,personas de 60 anos y mas,2009-01-01,27,37,0,2,27,39,66
ANTEQUERA,consulta externa,personas de 60 anos y mas,2009-01-01,20,17,0,2,20,19,39
ANZALDO,consulta externa,personas de 60 anos y mas,2009-01-01,16,21,3,3,19,24,43
APOLO,consulta externa,personas de 60 anos y mas,2009-01-01,50,68,2,4,52,72,124
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2009-01-01,16,15,0,0,16,15,31
ARANI,consulta externa,personas de 60 anos y mas,2009-01-01,12,16,4,3,16,19,35
ARBIETO,consulta externa,personas de 60 anos y mas,2009-01-01,47,72,10,8,57,80,137
ARQUE,consulta externa,personas de 60 anos y mas,2009-01-01,5,20,1,1,6,21,27
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2009-01-01,48,45,15,16,63,61,124
ATOCHA,consulta externa,personas de 60 anos y mas,2009-01-01,22,38,7,6,29,44,73
AUCAPATA,consulta externa,personas de 60 anos y mas,2009-01-01,17,12,10,6,27,18,45
AYATA,consulta externa,personas de 60 anos y mas,2009-01-01,38,43,0,1,38,44,82
AYO AYO,consulta externa,personas de 60 anos y mas,2009-01-01,26,28,2,4,28,32,60
