,group,variable,month,PERSONAS DE 10 A 20 AÑOS NUEVOS,PERSONAS DE 10 A 20 AÑOS NUEVOS,PERSONAS DE 10 A 20 AÑOS REPETIDOS,PERSONAS DE 10 A 20 AÑOS REPETIDOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 20 anos,2009-01-01,8,38,0,0,8,38,46
ACHACACHI,consulta externa,personas de 10 a 20 anos,2009-01-01,93,144,13,27,106,171,277
ACHOCALLA,consulta externa,personas de 10 a 20 anos,2009-01-01,27,32,1,0,28,32,60
AIQUILE,consulta externa,personas de 10 a 20 anos,2009-01-01,105,116,5,6,110,122,232
ALALAY,consulta externa,personas de 10 a 20 anos,2009-01-01,2,3,0,0,2,3,5
ALCALA,consulta externa,personas de 10 a 20 anos,2009-01-01,47,49,4,0,51,49,100
ANCORAIMES,consulta externa,personas de 10 a 20 anos,2009-01-01,28,52,8,2,36,54,90
ANDAMARCA,consulta externa,personas de 10 a 20 anos,2009-01-01,11,12,1,1,12,13,25
ANTEQUERA,consulta externa,personas de 10 a 20 anos,2009-01-01,11,21,2,0,13,21,34
ANZALDO,consulta externa,personas de 10 a 20 anos,2009-01-01,9,23,0,2,9,25,34
APOLO,consulta externa,personas de 10 a 20 anos,2009-01-01,28,63,1,2,29,65,94
ARAMPAMPA,consulta externa,personas de 10 a 20 anos,2009-01-01,10,13,0,1,10,14,24
ARANI,consulta externa,personas de 10 a 20 anos,2009-01-01,10,32,0,1,10,33,43
ARBIETO,consulta externa,personas de 10 a 20 anos,2009-01-01,29,45,5,2,34,47,81
ARQUE,consulta externa,personas de 10 a 20 anos,2009-01-01,11,19,0,1,11,20,31
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 20 anos,2009-01-01,127,116,21,17,148,133,281
ATOCHA,consulta externa,personas de 10 a 20 anos,2009-01-01,50,83,6,11,56,94,150
AUCAPATA,consulta externa,personas de 10 a 20 anos,2009-01-01,16,16,2,4,18,20,38
AYATA,consulta externa,personas de 10 a 20 anos,2009-01-01,31,40,0,0,31,40,71
AYO AYO,consulta externa,personas de 10 a 20 anos,2009-01-01,16,20,0,1,16,21,37
