,group,variable,month,PERSONAS DE 21 A 59 AÑOS NUEVOS,PERSONAS DE 21 A 59 AÑOS NUEVOS,PERSONAS DE 21 A 59 AÑOS REPETIDOS,PERSONAS DE 21 A 59 AÑOS REPETIDOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 21 a 59 anos,2009-01-01,51,101,0,4,51,105,156
ACHACACHI,consulta externa,personas de 21 a 59 anos,2009-01-01,241,426,37,58,278,484,762
ACHOCALLA,consulta externa,personas de 21 a 59 anos,2009-01-01,31,60,0,1,31,61,92
AIQUILE,consulta externa,personas de 21 a 59 anos,2009-01-01,205,428,14,40,219,468,687
ALALAY,consulta externa,personas de 21 a 59 anos,2009-01-01,16,28,0,1,16,29,45
ALCALA,consulta externa,personas de 21 a 59 anos,2009-01-01,62,119,0,5,62,124,186
ANCORAIMES,consulta externa,personas de 21 a 59 anos,2009-01-01,69,161,6,8,75,169,244
ANDAMARCA,consulta externa,personas de 21 a 59 anos,2009-01-01,32,59,1,3,33,62,95
ANTEQUERA,consulta externa,personas de 21 a 59 anos,2009-01-01,42,54,0,2,42,56,98
ANZALDO,consulta externa,personas de 21 a 59 anos,2009-01-01,32,57,5,6,37,63,100
APOLO,consulta externa,personas de 21 a 59 anos,2009-01-01,78,170,4,1,82,171,253
ARAMPAMPA,consulta externa,personas de 21 a 59 anos,2009-01-01,33,62,5,3,38,65,103
ARANI,consulta externa,personas de 21 a 59 anos,2009-01-01,24,75,2,3,26,78,104
ARBIETO,consulta externa,personas de 21 a 59 anos,2009-01-01,32,133,8,7,40,140,180
ARQUE,consulta externa,personas de 21 a 59 anos,2009-01-01,47,126,1,12,48,138,186
ASCENCION DE GUARAYOS,consulta externa,personas de 21 a 59 anos,2009-01-01,189,213,56,52,245,265,510
ATOCHA,consulta externa,personas de 21 a 59 anos,2009-01-01,155,259,13,21,168,280,448
AUCAPATA,consulta externa,personas de 21 a 59 anos,2009-01-01,29,38,16,19,45,57,102
AYATA,consulta externa,personas de 21 a 59 anos,2009-01-01,95,173,2,4,97,177,274
AYO AYO,consulta externa,personas de 21 a 59 anos,2009-01-01,35,97,0,10,35,107,142
