,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVOS,PERSONAS DE 5 A 9 AÑOS NUEVOS,PERSONAS DE 5 A 9 AÑOS REPETIDOS,PERSONAS DE 5 A 9 AÑOS REPETIDOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2009-01-01,6,10,0,0,6,10,16
ACHACACHI,consulta externa,personas de 5 a 9 anos,2009-01-01,49,43,1,1,50,44,94
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2009-01-01,21,38,0,0,21,38,59
AIQUILE,consulta externa,personas de 5 a 9 anos,2009-01-01,39,39,2,1,41,40,81
ALALAY,consulta externa,personas de 5 a 9 anos,2009-01-01,2,1,0,0,2,1,3
ALCALA,consulta externa,personas de 5 a 9 anos,2009-01-01,19,21,0,0,19,21,40
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2009-01-01,13,11,1,0,14,11,25
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2009-01-01,5,6,0,0,5,6,11
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2009-01-01,20,12,1,0,21,12,33
ANZALDO,consulta externa,personas de 5 a 9 anos,2009-01-01,5,11,2,0,7,11,18
APOLO,consulta externa,personas de 5 a 9 anos,2009-01-01,34,28,0,0,34,28,62
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2009-01-01,7,6,0,0,7,6,13
ARANI,consulta externa,personas de 5 a 9 anos,2009-01-01,16,14,2,0,18,14,32
ARBIETO,consulta externa,personas de 5 a 9 anos,2009-01-01,35,32,1,1,36,33,69
ARQUE,consulta externa,personas de 5 a 9 anos,2009-01-01,3,6,0,0,3,6,9
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2009-01-01,96,84,20,11,116,95,211
ATOCHA,consulta externa,personas de 5 a 9 anos,2009-01-01,39,43,6,7,45,50,95
AUCAPATA,consulta externa,personas de 5 a 9 anos,2009-01-01,20,20,3,1,23,21,44
AYATA,consulta externa,personas de 5 a 9 anos,2009-01-01,20,26,0,1,20,27,47
AYO AYO,consulta externa,personas de 5 a 9 anos,2009-01-01,10,11,1,0,11,11,22
