,group,variable,month,MENORES DE 5 AÑOS NUEVOS,MENORES DE 5 AÑOS NUEVOS,MENORES DE 5 AÑOS REPETIDOS,MENORES DE 5 AÑOS REPETIDOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
CARAPARI,consulta externa,menores de 5 anos,2009-04-01,372,336,5,3,377,339,716
CARIPUYO,consulta externa,menores de 5 anos,2009-04-01,248,194,0,1,248,195,443
CARMEN RIVERO TORREZ,consulta externa,menores de 5 anos,2009-04-01,113,131,19,16,132,147,279
CATACORA,consulta externa,menores de 5 anos,2009-04-01,17,15,0,2,17,17,34
CHACARILLA,consulta externa,menores de 5 anos,2009-04-01,14,25,0,0,14,25,39
CHALLAPATA,consulta externa,menores de 5 anos,2009-04-01,536,398,6,2,542,400,942
CHAQUI,consulta externa,menores de 5 anos,2009-04-01,129,96,2,0,131,96,227
CHARAGUA,consulta externa,menores de 5 anos,2009-04-01,1072,1108,87,94,1159,1202,2361
CHARAÑA,consulta externa,menores de 5 anos,2009-04-01,20,29,5,3,25,32,57
CHAYANTA,consulta externa,menores de 5 anos,2009-04-01,422,434,2,7,424,441,865
CHIMORE,consulta externa,menores de 5 anos,2009-04-01,719,674,51,49,770,723,1493
CHIPAYA,consulta externa,menores de 5 anos,2009-04-01,20,31,6,2,26,33,59
CHOQUE COTA,consulta externa,menores de 5 anos,2009-04-01,29,19,2,1,31,20,51
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 5 anos,2009-04-01,368,303,17,17,385,320,705
CHUMA,consulta externa,menores de 5 anos,2009-04-01,138,131,1,3,139,134,273
CLIZA,consulta externa,menores de 5 anos,2009-04-01,345,291,115,88,460,379,839
COBIJA,consulta externa,menores de 5 anos,2009-04-01,1243,1044,338,320,1581,1364,2945
COCHABAMBA,consulta externa,menores de 5 anos,2009-04-01,12119,11193,4608,4496,16727,15689,32416
COIPASA,consulta externa,menores de 5 anos,2009-04-01,12,17,1,0,13,17,30
COLCAPIRHUA,consulta externa,menores de 5 anos,2009-04-01,454,365,613,444,1067,809,1876
"COLCHA ""K""",consulta externa,menores de 5 anos,2009-04-01,5,6,0,0,5,6,11
COLLANA,consulta externa,menores de 5 anos,2009-04-01,19,17,2,1,21,18,39
COLOMI,consulta externa,menores de 5 anos,2009-04-01,297,232,35,25,332,257,589
COLPA BELGICA,consulta externa,menores de 5 anos,2009-04-01,215,221,63,45,278,266,544
COLQUECHACA,consulta externa,menores de 5 anos,2009-04-01,988,976,4,1,992,977,1969
COLQUENCHA,consulta externa,menores de 5 anos,2009-04-01,122,147,5,15,127,162,289
COLQUIRI,consulta externa,menores de 5 anos,2009-04-01,320,242,34,22,354,264,618
COMANCHE,consulta externa,menores de 5 anos,2009-04-01,42,29,0,0,42,29,71
COMARAPA,consulta externa,menores de 5 anos,2009-04-01,423,449,28,27,451,476,927
COMBAYA,consulta externa,menores de 5 anos,2009-04-01,40,41,1,0,41,41,82
CONCEPCION,consulta externa,menores de 5 anos,2009-04-01,228,243,4,0,232,243,475
COPACABANA,consulta externa,menores de 5 anos,2009-04-01,142,130,3,1,145,131,276
CORIPATA,consulta externa,menores de 5 anos,2009-04-01,290,300,14,17,304,317,621
CORO CORO,consulta externa,menores de 5 anos,2009-04-01,143,120,0,3,143,123,266
COROICO,consulta externa,menores de 5 anos,2009-04-01,229,174,59,44,288,218,506
CORQUE,consulta externa,menores de 5 anos,2009-04-01,149,140,14,8,163,148,311
COTAGAITA,consulta externa,menores de 5 anos,2009-04-01,562,539,27,27,589,566,1155
COTOCA,consulta externa,menores de 5 anos,2009-04-01,1002,917,42,37,1044,954,1998
CUATRO CAÑADAS,consulta externa,menores de 5 anos,2009-04-01,593,544,37,23,630,567,1197
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 5 anos,2009-04-01,49,41,3,3,52,44,96
CUEVO,consulta externa,menores de 5 anos,2009-04-01,113,139,8,9,121,148,269
CULPINA,consulta externa,menores de 5 anos,2009-04-01,409,402,11,8,420,410,830
CURAHUARA DE CARANGAS,consulta externa,menores de 5 anos,2009-04-01,119,92,8,7,127,99,226
CURVA,consulta externa,menores de 5 anos,2009-04-01,43,35,0,0,43,35,78
DESAGUADERO,consulta externa,menores de 5 anos,2009-04-01,56,44,0,0,56,44,100
EL ALTO,consulta externa,menores de 5 anos,2009-04-01,13643,12797,2404,2320,16047,15117,31164
EL CHORO,consulta externa,menores de 5 anos,2009-04-01,120,108,3,7,123,115,238
EL PUENTE(STC),consulta externa,menores de 5 anos,2009-04-01,406,326,11,5,417,331,748
EL PUENTE(TJA),consulta externa,menores de 5 anos,2009-04-01,231,234,51,50,282,284,566
EL TORNO,consulta externa,menores de 5 anos,2009-04-01,1204,1120,99,123,1303,1243,2546
EL VILLAR,consulta externa,menores de 5 anos,2009-04-01,119,127,2,0,121,127,248
ENTRE RIOS,consulta externa,menores de 5 anos,2009-04-01,493,445,52,37,545,482,1027
ENTRE RIOS,consulta externa,menores de 5 anos,2009-04-01,532,492,16,15,548,507,1055
ESCARA,consulta externa,menores de 5 anos,2009-04-01,0,1,0,0,0,1,1
ESMERALDA,consulta externa,menores de 5 anos,2009-04-01,5,1,1,0,6,1,7
EUCALIPTUS,consulta externa,menores de 5 anos,2009-04-01,177,148,18,10,195,158,353
EUREKA (SANTOS MERCADO),consulta externa,menores de 5 anos,2009-04-01,45,43,1,0,46,43,89
EXALTACION,consulta externa,menores de 5 anos,2009-04-01,80,54,5,5,85,59,144
FERNANDEZ ALONSO,consulta externa,menores de 5 anos,2009-04-01,550,439,28,20,578,459,1037
FILADELFIA,consulta externa,menores de 5 anos,2009-04-01,88,70,16,16,104,86,190
GENERAL SAAVEDRA,consulta externa,menores de 5 anos,2009-04-01,589,550,11,12,600,562,1162
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 5 anos,2009-04-01,186,155,5,5,191,160,351
GUANAY,consulta externa,menores de 5 anos,2009-04-01,217,209,5,1,222,210,432
GUAQUI,consulta externa,menores de 5 anos,2009-04-01,65,67,3,3,68,70,138
GUAYARAMERIN,consulta externa,menores de 5 anos,2009-04-01,1634,1478,110,79,1744,1557,3301
GUTIERREZ,consulta externa,menores de 5 anos,2009-04-01,630,650,10,12,640,662,1302
HUACARETA,consulta externa,menores de 5 anos,2009-04-01,259,244,20,20,279,264,543
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 5 anos,2009-04-01,139,142,1,5,140,147,287
HUACHACALLA,consulta externa,menores de 5 anos,2009-04-01,45,38,0,2,45,40,85
HUANUNI,consulta externa,menores de 5 anos,2009-04-01,552,469,17,28,569,497,1066
HUARACAJE,consulta externa,menores de 5 anos,2009-04-01,116,110,3,1,119,111,230
HUAYLLAMARCA,consulta externa,menores de 5 anos,2009-04-01,75,63,7,5,82,68,150
ICHOCA,consulta externa,menores de 5 anos,2009-04-01,44,36,0,0,44,36,80
ICLA,consulta externa,menores de 5 anos,2009-04-01,443,446,4,13,447,459,906
INCAHUASI,consulta externa,menores de 5 anos,2009-04-01,644,676,2,3,646,679,1325
INGAVI (HUMAITA),consulta externa,menores de 5 anos,2009-04-01,62,55,10,5,72,60,132
INQUISIVI,consulta externa,menores de 5 anos,2009-04-01,171,152,0,0,171,152,323
IRUPANA (VILLA DE LANZA),consulta externa,menores de 5 anos,2009-04-01,299,271,11,8,310,279,589
IXIAMAS,consulta externa,menores de 5 anos,2009-04-01,203,194,54,37,257,231,488
JESUS DE MACHACA,consulta externa,menores de 5 anos,2009-04-01,144,185,8,11,152,196,348
LA ASUNTA,consulta externa,menores de 5 anos,2009-04-01,896,823,9,3,905,826,1731
LA GUARDIA,consulta externa,menores de 5 anos,2009-04-01,1850,1708,120,116,1970,1824,3794
LA PAZ,consulta externa,menores de 5 anos,2009-04-01,17235,16045,4098,3847,21333,19892,41225
LA RIVERA,consulta externa,menores de 5 anos,2009-04-01,7,8,0,0,7,8,15
LAGUNILLAS,consulta externa,menores de 5 anos,2009-04-01,289,242,5,11,294,253,547
LAJA,consulta externa,menores de 5 anos,2009-04-01,124,124,15,12,139,136,275
LAS CARRERAS,consulta externa,menores de 5 anos,2009-04-01,101,75,4,6,105,81,186
LICOMA PAMPA,consulta externa,menores de 5 anos,2009-04-01,48,48,10,12,58,60,118
LLALLAGUA,consulta externa,menores de 5 anos,2009-04-01,926,841,39,28,965,869,1834
LLICA,consulta externa,menores de 5 anos,2009-04-01,25,25,0,2,25,27,52
LORETO,consulta externa,menores de 5 anos,2009-04-01,61,71,8,6,69,77,146
LURIBAY,consulta externa,menores de 5 anos,2009-04-01,114,92,23,6,137,98,235
MACHACAMARCA,consulta externa,menores de 5 anos,2009-04-01,79,82,2,1,81,83,164
MACHARETI,consulta externa,menores de 5 anos,2009-04-01,349,274,8,8,357,282,639
MAGDALENA,consulta externa,menores de 5 anos,2009-04-01,291,225,12,20,303,245,548
MAIRANA,consulta externa,menores de 5 anos,2009-04-01,223,176,3,6,226,182,408
MALLA,consulta externa,menores de 5 anos,2009-04-01,45,34,1,1,46,35,81
MAPIRI,consulta externa,menores de 5 anos,2009-04-01,324,298,0,0,324,298,622
MECAPACA,consulta externa,menores de 5 anos,2009-04-01,148,105,8,7,156,112,268
MINEROS,consulta externa,menores de 5 anos,2009-04-01,542,492,3,1,545,493,1038
MIZQUE,consulta externa,menores de 5 anos,2009-04-01,460,445,47,42,507,487,994
MOCOMOCO,consulta externa,menores de 5 anos,2009-04-01,121,107,0,0,121,107,228
MOJINETE,consulta externa,menores de 5 anos,2009-04-01,17,22,9,1,26,23,49
MOJOCOYA,consulta externa,menores de 5 anos,2009-04-01,108,124,23,24,131,148,279
MONTEAGUDO,consulta externa,menores de 5 anos,2009-04-01,796,761,107,104,903,865,1768
MONTERO,consulta externa,menores de 5 anos,2009-04-01,2810,2542,357,361,3167,2903,6070
MORO MORO,consulta externa,menores de 5 anos,2009-04-01,43,31,2,0,45,31,76
MOROCHATA,consulta externa,menores de 5 anos,2009-04-01,407,403,219,243,626,646,1272
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 5 anos,2009-04-01,92,66,13,1,105,67,172
NAZACARA DE PACAJES,consulta externa,menores de 5 anos,2009-04-01,3,9,0,0,3,9,12
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 5 anos,2009-04-01,56,75,3,2,59,77,136
OCURI,consulta externa,menores de 5 anos,2009-04-01,506,399,33,27,539,426,965
OKINAWA,consulta externa,menores de 5 anos,2009-04-01,365,331,18,12,383,343,726
OMEREQUE,consulta externa,menores de 5 anos,2009-04-01,133,146,2,2,135,148,283
ORURO,consulta externa,menores de 5 anos,2009-04-01,5192,4727,481,476,5673,5203,10876
PADCAYA,consulta externa,menores de 5 anos,2009-04-01,506,462,18,15,524,477,1001
PADILLA,consulta externa,menores de 5 anos,2009-04-01,381,374,19,14,400,388,788
PAILON,consulta externa,menores de 5 anos,2009-04-01,627,538,105,31,732,569,1301
PALCA,consulta externa,menores de 5 anos,2009-04-01,72,67,0,1,72,68,140
PALOS BLANCOS,consulta externa,menores de 5 anos,2009-04-01,813,780,91,188,904,968,1872
PAMPA AULLAGAS,consulta externa,menores de 5 anos,2009-04-01,49,24,4,0,53,24,77
PAMPA GRANDE,consulta externa,menores de 5 anos,2009-04-01,160,148,9,7,169,155,324
PAPEL PAMPA,consulta externa,menores de 5 anos,2009-04-01,101,76,2,2,103,78,181
PASORAPA,consulta externa,menores de 5 anos,2009-04-01,104,84,8,5,112,89,201
PATACAMAYA,consulta externa,menores de 5 anos,2009-04-01,227,199,0,0,227,199,426
PAZÑA,consulta externa,menores de 5 anos,2009-04-01,101,102,7,5,108,107,215
PELECHUCO,consulta externa,menores de 5 anos,2009-04-01,91,92,0,0,91,92,183
POCOATA,consulta externa,menores de 5 anos,2009-04-01,372,405,2,5,374,410,784
POCONA,consulta externa,menores de 5 anos,2009-04-01,276,265,12,9,288,274,562
POJO (CBBA),consulta externa,menores de 5 anos,2009-04-01,267,218,28,27,295,245,540
POOPO,consulta externa,menores de 5 anos,2009-04-01,76,81,1,1,77,82,159
PORCO,consulta externa,menores de 5 anos,2009-04-01,205,161,3,1,208,162,370
POROMA,consulta externa,menores de 5 anos,2009-04-01,424,400,3,2,427,402,829
PORONGO,consulta externa,menores de 5 anos,2009-04-01,250,222,50,59,300,281,581
PORTACHUELO,consulta externa,menores de 5 anos,2009-04-01,620,609,69,71,689,680,1369
PORVENIR,consulta externa,menores de 5 anos,2009-04-01,192,195,20,20,212,215,427
POSTRER VALLE,consulta externa,menores de 5 anos,2009-04-01,40,40,1,0,41,40,81
POTOSI,consulta externa,menores de 5 anos,2009-04-01,3940,3635,532,520,4472,4155,8627
PRESTO,consulta externa,menores de 5 anos,2009-04-01,387,340,12,3,399,343,742
PUCARA,consulta externa,menores de 5 anos,2009-04-01,35,31,1,1,36,32,68
PUCARANI,consulta externa,menores de 5 anos,2009-04-01,220,210,15,7,235,217,452
PUERTO ACOSTA,consulta externa,menores de 5 anos,2009-04-01,148,120,6,1,154,121,275
PUERTO CARABUCO,consulta externa,menores de 5 anos,2009-04-01,96,124,1,3,97,127,224
PUERTO GONZALO MORENO,consulta externa,menores de 5 anos,2009-04-01,167,171,4,3,171,174,345
PUERTO PEREZ,consulta externa,menores de 5 anos,2009-04-01,35,28,2,0,37,28,65
PUERTO QUIJARRO,consulta externa,menores de 5 anos,2009-04-01,373,343,13,12,386,355,741
PUERTO RICO,consulta externa,menores de 5 anos,2009-04-01,202,136,13,7,215,143,358
PUERTO SILES,consulta externa,menores de 5 anos,2009-04-01,33,15,8,15,41,30,71
PUERTO SUAREZ,consulta externa,menores de 5 anos,2009-04-01,350,342,61,53,411,395,806
PUERTO VILLARROEL,consulta externa,menores de 5 anos,2009-04-01,1612,1465,72,56,1684,1521,3205
PUNA,consulta externa,menores de 5 anos,2009-04-01,722,677,12,6,734,683,1417
PUNATA,consulta externa,menores de 5 anos,2009-04-01,514,560,112,124,626,684,1310
QUIABAYA,consulta externa,menores de 5 anos,2009-04-01,36,20,3,5,39,25,64
QUILLACOLLO,consulta externa,menores de 5 anos,2009-04-01,1210,1171,701,611,1911,1782,3693
QUIME,consulta externa,menores de 5 anos,2009-04-01,109,97,4,2,113,99,212
QUIRUSILLAS,consulta externa,menores de 5 anos,2009-04-01,42,37,3,0,45,37,82
RAVELO,consulta externa,menores de 5 anos,2009-04-01,436,379,7,4,443,383,826
REYES,consulta externa,menores de 5 anos,2009-04-01,448,401,27,25,475,426,901
RIBERALTA,consulta externa,menores de 5 anos,2009-04-01,3438,3072,547,537,3985,3609,7594
ROBORE,consulta externa,menores de 5 anos,2009-04-01,695,648,11,23,706,671,1377
RURRENABAQUE,consulta externa,menores de 5 anos,2009-04-01,565,524,28,25,593,549,1142
SABAYA,consulta externa,menores de 5 anos,2009-04-01,67,52,0,0,67,52,119
SACABA,consulta externa,menores de 5 anos,2009-04-01,1836,1657,347,327,2183,1984,4167
SACABAMBA,consulta externa,menores de 5 anos,2009-04-01,113,97,5,2,118,99,217
SACACA,consulta externa,menores de 5 anos,2009-04-01,590,554,6,0,596,554,1150
SAIPINA,consulta externa,menores de 5 anos,2009-04-01,121,119,13,18,134,137,271
SALINAS DE GARCI MENDOZA,consulta externa,menores de 5 anos,2009-04-01,247,250,2,3,249,253,502
SAMAIPATA,consulta externa,menores de 5 anos,2009-04-01,112,132,6,5,118,137,255
SAN AGUSTIN,consulta externa,menores de 5 anos,2009-04-01,29,35,3,1,32,36,68
SAN ANDRES,consulta externa,menores de 5 anos,2009-04-01,376,350,16,20,392,370,762
SAN ANDRES DE MACHACA,consulta externa,menores de 5 anos,2009-04-01,44,36,1,1,45,37,82
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 5 anos,2009-04-01,81,97,2,2,83,99,182
SAN ANTONIO DE LOMERIO,consulta externa,menores de 5 anos,2009-04-01,211,200,2,3,213,203,416
SAN BENITO,consulta externa,menores de 5 anos,2009-04-01,317,262,82,60,399,322,721
SAN BORJA,consulta externa,menores de 5 anos,2009-04-01,1266,1180,38,47,1304,1227,2531
SAN BUENA VENTURA,consulta externa,menores de 5 anos,2009-04-01,324,288,22,18,346,306,652
SAN CARLOS,consulta externa,menores de 5 anos,2009-04-01,393,410,17,17,410,427,837
SAN IGNACIO,consulta externa,menores de 5 anos,2009-04-01,1021,1005,37,26,1058,1031,2089
SAN IGNACIO DE VELASCO,consulta externa,menores de 5 anos,2009-04-01,1725,1668,110,117,1835,1785,3620
SAN JAVIER(BNI),consulta externa,menores de 5 anos,2009-04-01,140,125,2,3,142,128,270
SAN JAVIER(STC),consulta externa,menores de 5 anos,2009-04-01,131,106,6,7,137,113,250
SAN JOAQUIN,consulta externa,menores de 5 anos,2009-04-01,174,173,3,7,177,180,357
SAN JOSE DE CHIQUITOS,consulta externa,menores de 5 anos,2009-04-01,525,545,152,147,677,692,1369
SAN JUAN DE YAPACANI,consulta externa,menores de 5 anos,2009-04-01,315,323,40,30,355,353,708
SAN JULIAN,consulta externa,menores de 5 anos,2009-04-01,1110,1013,33,57,1143,1070,2213
SAN LORENZO(PND),consulta externa,menores de 5 anos,2009-04-01,157,191,7,1,164,192,356
SAN LORENZO(TJA),consulta externa,menores de 5 anos,2009-04-01,451,472,19,25,470,497,967
SAN LUCAS,consulta externa,menores de 5 anos,2009-04-01,880,774,6,14,886,788,1674
SAN MATIAS,consulta externa,menores de 5 anos,2009-04-01,269,269,8,4,277,273,550
SAN MIGUEL DE VELASCO,consulta externa,menores de 5 anos,2009-04-01,320,311,60,53,380,364,744
SAN PABLO DE LIPEZ,consulta externa,menores de 5 anos,2009-04-01,92,84,5,13,97,97,194
SAN PEDRO,consulta externa,menores de 5 anos,2009-04-01,647,632,32,41,679,673,1352
SAN PEDRO DE BUENA VISTA,consulta externa,menores de 5 anos,2009-04-01,537,476,0,1,537,477,1014
SAN PEDRO DE CURAHUARA,consulta externa,menores de 5 anos,2009-04-01,59,62,2,1,61,63,124
SAN PEDRO DE QUEMES,consulta externa,menores de 5 anos,2009-04-01,16,23,1,0,17,23,40
SAN PEDRO DE TIQUINA,consulta externa,menores de 5 anos,2009-04-01,52,46,1,1,53,47,100
SAN PEDRO(PND),consulta externa,menores de 5 anos,2009-04-01,24,19,3,0,27,19,46
SAN RAFAEL,consulta externa,menores de 5 anos,2009-04-01,316,261,20,23,336,284,620
SAN RAMON,consulta externa,menores de 5 anos,2009-04-01,224,213,18,16,242,229,471
SAN RAMON,consulta externa,menores de 5 anos,2009-04-01,198,141,2,0,200,141,341
SANTA ANA,consulta externa,menores de 5 anos,2009-04-01,373,350,28,4,401,354,755
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 5 anos,2009-04-01,25608,23608,3863,3532,29471,27140,56611
SANTA ROSA,consulta externa,menores de 5 anos,2009-04-01,341,304,2,2,343,306,649
SANTA ROSA DEL SARA,consulta externa,menores de 5 anos,2009-04-01,491,555,19,22,510,577,1087
SANTIAGO DE CALLAPA,consulta externa,menores de 5 anos,2009-04-01,59,95,0,0,59,95,154
SANTIAGO DE HUARI,consulta externa,menores de 5 anos,2009-04-01,232,199,9,4,241,203,444
SANTIAGO DE MACHACA,consulta externa,menores de 5 anos,2009-04-01,26,34,1,0,27,34,61
SANTIVAÑES,consulta externa,menores de 5 anos,2009-04-01,79,85,6,12,85,97,182
SANTUARIO DE QUILLACAS,consulta externa,menores de 5 anos,2009-04-01,64,57,1,1,65,58,123
SAPAHAQUI,consulta externa,menores de 5 anos,2009-04-01,115,112,3,0,118,112,230
SENA,consulta externa,menores de 5 anos,2009-04-01,82,78,16,11,98,89,187
SICA SICA (VILLA AROMA),consulta externa,menores de 5 anos,2009-04-01,188,224,3,3,191,227,418
SICAYA,consulta externa,menores de 5 anos,2009-04-01,73,64,0,1,73,65,138
SIPE SIPE,consulta externa,menores de 5 anos,2009-04-01,501,388,199,169,700,557,1257
SOPACHUY,consulta externa,menores de 5 anos,2009-04-01,186,174,2,7,188,181,369
SORACACHI,consulta externa,menores de 5 anos,2009-04-01,177,189,2,9,179,198,377
SORATA,consulta externa,menores de 5 anos,2009-04-01,211,186,18,15,229,201,430
SUCRE,consulta externa,menores de 5 anos,2009-04-01,7394,6862,956,1036,8350,7898,16248
TACACHI,consulta externa,menores de 5 anos,2009-04-01,6,15,2,2,8,17,25
TACACOMA,consulta externa,menores de 5 anos,2009-04-01,95,89,2,4,97,93,190
TACOBAMBA,consulta externa,menores de 5 anos,2009-04-01,173,164,4,4,177,168,345
TACOPAYA,consulta externa,menores de 5 anos,2009-04-01,182,156,6,6,188,162,350
TAPACARI,consulta externa,menores de 5 anos,2009-04-01,779,749,45,32,824,781,1605
TARABUCO,consulta externa,menores de 5 anos,2009-04-01,704,700,11,9,715,709,1424
TARACO,consulta externa,menores de 5 anos,2009-04-01,34,34,0,1,34,35,69
TARATA,consulta externa,menores de 5 anos,2009-04-01,72,71,104,88,176,159,335
TARIJA,consulta externa,menores de 5 anos,2009-04-01,4557,4761,454,394,5011,5155,10166
TARVITA,consulta externa,menores de 5 anos,2009-04-01,621,617,7,6,628,623,1251
TEOPONTE,consulta externa,menores de 5 anos,2009-04-01,210,208,18,20,228,228,456
TIAWANACU,consulta externa,menores de 5 anos,2009-04-01,97,114,2,7,99,121,220
TINGUIPAYA,consulta externa,menores de 5 anos,2009-04-01,408,351,8,4,416,355,771
TIPUANI,consulta externa,menores de 5 anos,2009-04-01,258,230,3,2,261,232,493
TIQUIPAYA,consulta externa,menores de 5 anos,2009-04-01,1052,1121,239,237,1291,1358,2649
TIRAQUE (CBBA),consulta externa,menores de 5 anos,2009-04-01,990,897,225,168,1215,1065,2280
TITO YUPANQUI (PARQUIPUJIO),consulta externa,menores de 5 anos,2009-04-01,21,18,1,2,22,20,42
TOCO,consulta externa,menores de 5 anos,2009-04-01,77,78,8,14,85,92,177
TODOS SANTOS,consulta externa,menores de 5 anos,2009-04-01,6,6,1,0,7,6,13
TOLATA,consulta externa,menores de 5 anos,2009-04-01,103,113,12,15,115,128,243
TOLEDO,consulta externa,menores de 5 anos,2009-04-01,67,94,21,15,88,109,197
TOMAVE,consulta externa,menores de 5 anos,2009-04-01,215,220,6,6,221,226,447
TOMINA,consulta externa,menores de 5 anos,2009-04-01,452,467,2,4,454,471,925
TORO TORO,consulta externa,menores de 5 anos,2009-04-01,300,285,5,7,305,292,597
TOTORA(CBBA),consulta externa,menores de 5 anos,2009-04-01,300,240,8,2,308,242,550
TOTORA(ORR),consulta externa,menores de 5 anos,2009-04-01,89,94,0,0,89,94,183
TRIGAL,consulta externa,menores de 5 anos,2009-04-01,46,39,3,3,49,42,91
TRINIDAD,consulta externa,menores de 5 anos,2009-04-01,1804,1679,379,394,2183,2073,4256
TUPIZA,consulta externa,menores de 5 anos,2009-04-01,1097,826,44,25,1141,851,1992
TURCO,consulta externa,menores de 5 anos,2009-04-01,100,104,4,4,104,108,212
UMALA,consulta externa,menores de 5 anos,2009-04-01,154,153,5,6,159,159,318
UNCIA,consulta externa,menores de 5 anos,2009-04-01,710,696,3,19,713,715,1428
URIONDO (A. CONCEPCION),consulta externa,menores de 5 anos,2009-04-01,466,456,18,22,484,478,962
URUBICHA,consulta externa,menores de 5 anos,2009-04-01,210,201,11,7,221,208,429
UYUNI,consulta externa,menores de 5 anos,2009-04-01,142,142,1,6,143,148,291
VACAS,consulta externa,menores de 5 anos,2009-04-01,119,105,7,16,126,121,247
VALLEGRANDE,consulta externa,menores de 5 anos,2009-04-01,231,197,85,56,316,253,569
VIACHA,consulta externa,menores de 5 anos,2009-04-01,604,667,133,145,737,812,1549
VILA VILA,consulta externa,menores de 5 anos,2009-04-01,56,63,3,2,59,65,124
VILLA MONTES,consulta externa,menores de 5 anos,2009-04-01,915,833,68,62,983,895,1878
VILLA NUEVA (LOMA ALTA),consulta externa,menores de 5 anos,2009-04-01,98,116,3,4,101,120,221
VILLA RIVERO,consulta externa,menores de 5 anos,2009-04-01,106,97,11,8,117,105,222
VILLA SERRANO,consulta externa,menores de 5 anos,2009-04-01,389,340,2,5,391,345,736
VILLA TUNARI,consulta externa,menores de 5 anos,2009-04-01,2636,2175,94,74,2730,2249,4979
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,menores de 5 anos,2009-04-01,238,245,4,5,242,250,492
VILLAZON,consulta externa,menores de 5 anos,2009-04-01,939,691,65,53,1004,744,1748
VINTO,consulta externa,menores de 5 anos,2009-04-01,470,427,344,271,814,698,1512
VITICHI,consulta externa,menores de 5 anos,2009-04-01,207,191,4,2,211,193,404
WALDO BALLIVIAN,consulta externa,menores de 5 anos,2009-04-01,36,32,0,2,36,34,70
WARNES,consulta externa,menores de 5 anos,2009-04-01,1499,1455,69,78,1568,1533,3101
YACO,consulta externa,menores de 5 anos,2009-04-01,115,115,6,10,121,125,246
YACUIBA,consulta externa,menores de 5 anos,2009-04-01,2417,2164,140,118,2557,2282,4839
YAMPARAEZ,consulta externa,menores de 5 anos,2009-04-01,194,184,14,13,208,197,405
YANACACHI,consulta externa,menores de 5 anos,2009-04-01,55,84,3,6,58,90,148
YAPACANI,consulta externa,menores de 5 anos,2009-04-01,721,686,12,3,733,689,1422
YOCALLA,consulta externa,menores de 5 anos,2009-04-01,141,136,4,0,145,136,281
YOTALA,consulta externa,menores de 5 anos,2009-04-01,170,180,22,18,192,198,390
YUNCHARA,consulta externa,menores de 5 anos,2009-04-01,135,106,1,0,136,106,242
ZUDAÑEZ,consulta externa,menores de 5 anos,2009-04-01,240,215,2,5,242,220,462
ACACIO,consulta externa,menores de 5 anos,2009-05-01,292,185,1,2,293,187,480
ACHACACHI,consulta externa,menores de 5 anos,2009-05-01,486,452,10,19,496,471,967
ACHOCALLA,consulta externa,menores de 5 anos,2009-05-01,68,77,4,7,72,84,156
AIQUILE,consulta externa,menores de 5 anos,2009-05-01,633,616,23,18,656,634,1290
ALALAY,consulta externa,menores de 5 anos,2009-05-01,43,39,1,0,44,39,83
ALCALA,consulta externa,menores de 5 anos,2009-05-01,164,181,0,3,164,184,348
ANCORAIMES,consulta externa,menores de 5 anos,2009-05-01,209,209,1,4,210,213,423
ANDAMARCA,consulta externa,menores de 5 anos,2009-05-01,78,72,12,5,90,77,167
ANTEQUERA,consulta externa,menores de 5 anos,2009-05-01,82,51,0,1,82,52,134
ANZALDO,consulta externa,menores de 5 anos,2009-05-01,166,162,28,37,194,199,393
APOLO,consulta externa,menores de 5 anos,2009-05-01,446,467,0,0,446,467,913
ARAMPAMPA,consulta externa,menores de 5 anos,2009-05-01,106,92,2,1,108,93,201
ARANI,consulta externa,menores de 5 anos,2009-05-01,255,196,2,1,257,197,454
ARBIETO,consulta externa,menores de 5 anos,2009-05-01,187,170,49,66,236,236,472
ARQUE,consulta externa,menores de 5 anos,2009-05-01,474,410,1,2,475,412,887
ASCENCION DE GUARAYOS,consulta externa,menores de 5 anos,2009-05-01,482,413,73,64,555,477,1032
ATOCHA,consulta externa,menores de 5 anos,2009-05-01,224,220,20,3,244,223,467
AUCAPATA,consulta externa,menores de 5 anos,2009-05-01,104,81,5,3,109,84,193
AYATA,consulta externa,menores de 5 anos,2009-05-01,206,176,3,2,209,178,387
AYO AYO,consulta externa,menores de 5 anos,2009-05-01,99,79,3,1,102,80,182
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 5 anos,2009-05-01,887,818,13,27,900,845,1745
AZURDUY,consulta externa,menores de 5 anos,2009-05-01,428,415,1,1,429,416,845
BATALLAS,consulta externa,menores de 5 anos,2009-05-01,219,182,5,2,224,184,408
BAURES,consulta externa,menores de 5 anos,2009-05-01,95,95,5,6,100,101,201
