,group,variable,month,PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,0,2,1,3,6
ACHACACHI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,11,8,4,1,24
ACHOCALLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,7,9,14,4,34
AIQUILE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,3,6,1,0,10
ALALAY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,0,0,2,0,2
ALCALA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,1,4,1,0,6
ALTO BENI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,9,2,0,1,12
ANCORAIMES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,2,0,1,3,6
ANTEQUERA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,1,1,0,0,2
APOLO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,7,8,3,4,22
ARAMPAMPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,0,0,1,0,1
ARANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,1,0,1,0,2
ARBIETO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,2,4,1,2,9
ARQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,1,0,0,6,7
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,21,19,0,0,40
ATOCHA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,5,4,2,4,15
AYATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,2,3,1,0,6
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,2,0,2,4,8
AZURDUY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,2,2,0,2,6
BATALLAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,5,1,1,1,8
BAURES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,8,4,1,1,14
BELEN DE URMIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,1,0,0,0,1
BERMEJO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,19,9,0,3,31
BETANZOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,3,7,4,4,18
BOLIVAR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,2,0,11,1,14
BOLPEBRA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,0,0,2,3,5
BOYUIBE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,2,4,0,0,6
BUENA VISTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,9,5,4,0,18
CABEZAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,6,3,3,0,12
CAIROMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,5,5,1,4,15
"CAIZA ""D""",vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-01-01,4,3,0,0,7
