municipality,group,variable,month,Número de condones entregados,TOTAL
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,38,38
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,72,72
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,48,48
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,96,96
ALALAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,12,12
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,180,180
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,63,63
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,84,84
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,96,96
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,72,72
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,12,12
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,96,96
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,12,12
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,24,24
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,60,60
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,104,104
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,60,60
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,288,288
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2011-01-01,12,12
