municipality,group,variable,month,Píldora: Usuarias Continuas,TOTAL
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,6,6
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,3,3
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,5,5
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,6,6
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,3,3
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,3,3
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,2,2
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,2,2
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,3,3
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,1,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,12,12
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,8,8
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,5,5
AYO AYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,2,2
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,4,4
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,10,10
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,23,23
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,6,6
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,8,8
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,10,10
BOLPEBRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,6,6
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,2,2
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",pildora: usuarias continuas,2011-01-01,62,62
