municipality,group,variable,month,Adultos(as) mayores de 60 años que reciben Complemento Nutricional,TOTAL
ACACIO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,552,552
ACHACACHI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,986,986
ACHOCALLA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,152,152
AIQUILE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,468,468
ALALAY,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,135,135
ALCALA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,102,102
ALTO BENI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,275,275
ANCORAIMES,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,500,500
ANDAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,403,403
ANTEQUERA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,52,52
ANZALDO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,698,698
APOLO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,258,258
ARAMPAMPA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,361,361
ARANI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,638,638
ARBIETO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,917,917
ARQUE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,764,764
ASCENCION DE GUARAYOS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,150,150
ATOCHA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,122,122
AUCAPATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,140,140
AYATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2020-01-01,313,313
