,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-01-01,6,1,7
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-02-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-02-01,12,2,14
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-03-01,15,1,16
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-04-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-04-01,11,0,11
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-05-01,6,2,8
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-06-01,2,3,5
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-07-01,4,0,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-07-01,5,2,7
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-08-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-08-01,2,2,4
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-09-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-09-01,5,2,7
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-10-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-10-01,3,2,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-11-01,6,0,6
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-12-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2021-12-01,0,3,3
