,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-01-01,4,1,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-02-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-02-01,7,0,7
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-03-01,5,0,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-04-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-04-01,7,3,10
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-05-01,7,0,7
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-06-01,1,3,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-07-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-07-01,3,8,11
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-08-01,1,1,2
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-08-01,2,4,6
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-09-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-10-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-10-01,0,3,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-11-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-12-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2021-12-01,1,0,1
