,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CARANAVI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-01-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-01-01,1,1,2
CABEZAS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-02-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-02-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-02-01,3,1,4
POTOSI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-03-01,2,1,3
SUCRE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-04-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-04-01,0,0,0
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-04-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-04-01,1,0,1
TIPUANI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-05-01,1,0,1
CORIPATA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-05-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-05-01,0,1,1
GUANAY,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-05-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-05-01,3,1,4
SANTA ROSA DEL SARA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-06-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-06-01,0,0,0
MINEROS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-06-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-06-01,1,1,2
CABEZAS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-07-01,1,0,1
CHIMORE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-07-01,0,1,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-07-01,1,2,3
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-07-01,1,0,1
TARATA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-08-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-08-01,0,1,1
