,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHOCALLA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,3,0,3
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,1,1,2
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,1,1,2
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,0,1,1
PORONGO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,9,1,10
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,0,1,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,2,0,2
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-01-01,1,1,2
BUENA VISTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,0,1,1
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,2,1,3
CORIPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,2,1,3
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,2,0,2
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,2,1,3
SAN JULIAN,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,9,2,11
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,2,0,2
VILLA MONTES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,0,1,1
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,1,0,1
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,5,0,5
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,3,0,3
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,2,1,3
PORONGO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,0,1,1
