,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ATOCHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,0,1,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,1,0,1
CHALLAPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,2,0,2
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,3,0,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,2,0,2
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,1,1,2
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,6,3,9
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-01-01,1,0,1
ATOCHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,2,0,2
COROICO,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,1,0,1
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,1,1,2
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,4,3,7
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-02-01,1,0,1
ATOCHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,1,0,1
CAMARGO,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,0,1,1
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,3,2,5
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,1,1,2
LLALLAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,0,1,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,1,2,3
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,1,0,1
SAN CARLOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2021-03-01,2,1,3
