,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-01-01,5,2,7
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-01-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-02-01,3,1,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-02-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-02-01,3,2,5
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-02-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-02-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-03-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-03-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-03-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-04-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-04-01,1,4,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-05-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-05-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-05-01,1,4,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-06-01,3,3,6
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-06-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-06-01,0,3,3
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-06-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-07-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-07-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-07-01,0,0,0
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-07-01,2,2,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-07-01,5,2,7
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-08-01,2,0,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-08-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-08-01,1,0,1
SACACA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-08-01,2,7,9
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-08-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-08-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-09-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-09-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-09-01,2,2,4
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-09-01,0,1,1
