,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,0,1,1
APOLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
BETANZOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,1,2
"CAIZA ""D""",tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,3,1,4
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,0,2,2
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,2,0,2
CHUMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,2,3
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,2,3
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,2,0,2
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,4,3,7
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,1,2
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,22,12,34
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,0,1,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,2,1,3
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,0,1,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,2,1,3
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,1,2
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,4,5
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,15,6,21
LURIBAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,13,3,16
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,4,2,6
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,2,0,2
PELECHUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,3,0,3
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,7,1,8
SAN CARLOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,1,0,1
SANTA ANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2021-01-01,83,47,130
