,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,3,0,3
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,2,3,5
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,2,2,4
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,0,2,2
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,3,1,4
ARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,0,1
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,4,1,5
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,5,6
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,3,5,8
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,2,3
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,4,2,6
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,1,2
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,2,1,3
BELEN DE ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,0,2,2
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,17,4,21
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,3,3,6
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,2,3
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,4,0,4
CAIROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,0,1
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,2,3
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,2,4,6
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,2,0,2
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,29,16,45
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,1,2
CARIPUYO,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,0,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,0,1,1
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,2,0,2
CHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,0,1
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,3,1,4
CHIMORE,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,6,4,10
CHIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,0,1,1
CHUA COCANI,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,3,1,4
CKOCHAS,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,3,1,4
CLIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,2,2,4
COBIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,17,9,26
COCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,137,81,218
COLCAPIRHUA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,5,5,10
COLOMI,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,1,3,4
COLQUENCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,0,1,1
COMARAPA,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,2,1,3
CONCEPCION,tuberculosis y lepra,n de sintomaticos respiratorios,2021-01-01,3,2,5
