,group,variable,month,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,0,1
BERMEJO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,2,3
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,0,1
CATACORA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,2,2
CHIMORE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,3,2,5
COBIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,4,2,6
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,1,2
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,2,2
ENTRE RIOS TRJ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,3,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,3,4
GUANAY,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,0,1
HUACARETA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,0,1
HUANUNI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,1,1
IXIAMAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,1,1
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,2,1,3
LLALLAGUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,1,1
MAPIRI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,2,2,4
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,0,1
QUIRUSILLAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,1,2
SAN BORJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,6,13,19
SHINAOTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,1,1
TARATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,1,1
TARIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,2,2
TIPUANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,1,2
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,1,1
URUBICHA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,1,1
VALLEGRANDE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,2,2
VIACHA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,1,1
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,0,1
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,2,2
YANACACHI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,1,0,1
YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2021-02-01,1,0,1
