,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,0,1,1
CAMIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,12,6,18
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,3,4,7
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,12,2,14
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,1,0,1
MECAPACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,0,1,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,2,0,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,3,1,4
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,1,0,1
PUNATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,2,2,4
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,13,8,21
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,1,0,1
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,1,2,3
TIPUANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,0,1,1
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-01-01,1,1,2
ARBIETO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,10,3,13
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,1,0,1
CONCEPCION,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,0,1,1
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,1,0,1
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,0,1,1
COTAGAITA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,1,0,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,6,4,10
GUANAY,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,1,0,1
HUAYLLAMARCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,1,0,1
ICLA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,6,1,7
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,2,0,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,4,0,4
PALCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,0,1,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2021-02-01,1,0,1
