,group,variable,month,Nº DE PACIENTES PAUCIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,Nº DE PACIENTES PAUCIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-01-01,3.0,0.0,3.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-03-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-05-01,1.0,2.0,3.0
VILLA TUNARI,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-05-01,6.0,0.0,6.0
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-06-01,0.0,0.0,0.0
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-07-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-07-01,15.0,15.0,30.0
SAN BORJA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-08-01,3.0,0.0,3.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-08-01,1.0,0.0,1.0
EL TORNO,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-09-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-09-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-09-01,1.0,0.0,1.0
COCHABAMBA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-10-01,1.0,0.0,1.0
EL TORNO,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-10-01,0.0,2.0,2.0
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-10-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-10-01,2.0,1.0,3.0
AIQUILE,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-11-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-11-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-11-01,1.0,0.0,1.0
BUENA VISTA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-12-01,2.0,1.0,3.0
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-12-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2021-12-01,3.0,1.0,4.0
