,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,1,2
ARANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,2,0,2
ARQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
BELEN DE ANDAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,2,2,4
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,3,4
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,2,0,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,7,1,8
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,1,2
CATACORA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
CHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,3,1,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,2,1,3
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,2,1,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,26,8,34
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,2,0,2
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,4,5
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,1,2
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,14,4,18
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,5,2,7
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
GUAQUI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
HUACARETA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,2,1,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,3,3
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,4,0,4
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,20,4,24
